//Abilities

		"omni_mace_effect"													"Эффект Omni Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_00"		"Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_01"		"Element Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_02"		"Chrome Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_03"		"Charged Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_11"		"Orbital Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_12"		"Prismatic Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_13"		"Protonic Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_14"		"Multistorm Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_21"		"Maleficient Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_22"		"Multicore Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_23"		"Atomic Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_24"		"Partitioned Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_25"		"Hammer of Division"

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_1"           "Omnichromatic Hammer"
		"item_property_omniro_immortal_weapon"                             "Multicrux"
		"property_omniro_immortal_weapon_description"                      "Эффект Omni Mace срабатывает дважды."

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_2"            "Supercharged Prism Hammer"
		"item_property_omniro_immortal_weapon2"                             "Kaleidoscopic Reload"
		"property_omniro_immortal_weapon2_description"                      "Элементы заряжаются на <% OMNIRO_LEGEND_WEAPON_2_RECHARGE_INCREASE %>% быстрее."

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_3"            "Mace of the Drakken"
		"item_property_omniro_immortal_weapon3"                             "Dragon Element"
		"property_omniro_immortal_weapon3_description"                      "Активирует элемент <font color=\"#3289C7\">Dragon</font>. Эффект Omni Mace применяет бафф, увеличивающий урон всех элементов. Орб-эффект обновляет заряды на других элементах."

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_1_1"		"Glyph of Consistency"
		"item_rpc_omniro_glyph_1_1_description" 				"Стандартный цикл элементов будет пропускать элементы без зарядов (кроме случая, когда зарядов нет ни у одного из элементов)."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_2_1"		"Glyph of Chromatic Pathing"
		"item_rpc_omniro_glyph_2_1_description" 				"Увеличивает количество полей от @Ability3 на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_3_1"		"Glyph of Planar Stalking"
		"item_rpc_omniro_glyph_3_1_description" 				"@Ability4 наносит @glyph_property1 дополнительных удара."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_4_1"		"Glyph of Galvanization"
		"item_rpc_omniro_glyph_4_1_description" 				"Добавляет @glyph_property1 уровней к Нормальному элементу и ускоряет его зарядку на @glyph_property2%."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_5_1"		"Glyph of Inspiration"
		"item_rpc_omniro_glyph_5_1_description" 				"@glyph_property1 элемента с наименьшими рунами получают @glyph_property2 дополнительный заряд."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_6_1"		"Glyph of Sapping"
		"item_rpc_omniro_glyph_6_1_description" 				"Атака по противнику восстановит @glyph_property1% заряда для текущего элемента."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_7_1"		"Glyph of Elemental Specialization"
		"item_rpc_omniro_glyph_7_1_description" 				"Элемент с наивысшим уровнем получает @glyph_property1 дополнительных заряда."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_5_a"		"Glyph of Chromaticity"
		"item_rpc_omniro_glyph_5_a_description" 				"Элемент с наивысшим уровнем получает <% OMNIRO_GLYPH_5_A_TOP_1_BONUS %>% бонус урона, второй по счету получает <% OMNIRO_GLYPH_5_A_TOP_2_BONUS%>%, третий <% OMNIRO_GLYPH_5_A_TOP_3_BONUS %>, и четвертый <% OMNIRO_GLYPH_5_A_TOP_4_BONUS %>."
