		//Abilities
		"ekkan_corpse"														"Труп"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_Description"                   "Разносчики Чумы получают способность создавать лужи из ядовитой кислоты радиусом <% EKKAN_ARCANA_W3A_RADIUS %>, которые наносят урон, основанный на Пробитии Брони Разносчика Чумы, каждые <% EKKAN_ARCANA_W3A_DAMAGE_INTERVAL %> сек. Противники, стоящие в луже также имеют сниженную Броню."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_property_one"                  "Урон Яда"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_suffix"                        "% от Пробития Брони"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_property_two"                  "Снижение Брони"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2a_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_plaguebearer_poison_spray"                       "Acid Pool"
        "DOTA_Tooltip_ability_ekkan_plaguebearer_poison_spray_Description"           "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#37DD3D\">Яд</font><br>Создает ядовитую лужу, которая наносит урон и снижает Броню и Магическую Защиту стоящим в ней." 

        "DOTA_Tooltip_plague_bearer_acid_spray_effect"                               "Acid Pool"

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a"                               "[W4] Endless Plague"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_Description"                   "Увеличивает длительность существования Разносчиков Чумы. Дополнительно увеличивает урон <font color=\"#5C776E\">Нежити</font> и <font color=\"#37DD3D\">Яда</font>."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_property_one"                  "Увеличение длительности жизни"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_suffix"                        " сек"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_property_two"                  "Элементальный урон Нежити и Яда"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2a_suffix_two"                    "%"

        //ARCANA2 - b
        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2b"                      "Wretched Grasp of Cruxys"

        "item_property_ekkan_arcana2b"                                       "Abyssal Reanimation (Лёд)"
        "property_ekkan_arcana2b_description"                                "Заменяет @Ability2 и её руны на Вызов Ледяных Призраков."

        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith"                        "Вызов Ледяных Призраков"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_Description"            "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#87D9FF\">Лёд</font><br>Противники, умирающие в радиусе 1500 от Эккана оставляют кучи костей после смерти. Эккан может вызвать из них Ледяных Призраков для битвы на его стороне. Ледяные Призраки имеют ледяную атаку, которая замедляет скорость атак и перемещения у целей."
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_max_skeletons"          "МАКСИМУМ ЛЕДЯНЫХ ПРИЗРАКОВ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_skeleton_duration"      "ВРЕМЯ СУЩЕСТВОВАНИЯ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_armor_mult"             "МНОЖИТЕЛЬ БРОНИ ЛЕДЯНЫХ ПРИЗРАКОВ ОТ БРОНИ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_attack_mult"            "МНОЖИТЕЛЬ УРОНА АТАКИ ЛЕДЯНЫХ ПРИЗРАКОВ ОТ УРОНА EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_skeleton_health"        "% ЗДОРОВЬЕ ЛЕДЯНЫХ ПРИЗРАКОВ ОТ % ЗДОРОВЬЯ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_duration"        "ДЛИТЕЛЬНОСТЬ ЭФФЕКТА АТАК:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_ms_slow"          "ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕМЕЩЕНИЯ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_as_slow"          "ЗАМЕДЛЕНИЕ СКОРОСТИ АТАК:"

        "DOTA_Tooltip_modifier_frost_wraith_basic_chilled"                   "Frost Wraith Chill"
        "DOTA_Tooltip_modifier_frost_wraith_basic_chilled_Description"       "Замедлен"

        "ekkan_frost_wraith"                                                        "Ледяной Призрак"

        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive"                   "Frost Attacks"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_Description"       "Атаки замедляют скорость атаки и скорость бега противников."  
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_duration"       "ДЛИТЕЛЬНОСТЬ ЭФФЕКТА АТАК:"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_ms_slow"          "ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕМЕЩЕНИЯ:"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_as_slow"          "ЗАМЕДЛЕНИЕ СКОРОСТИ АТАК:"

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b"                               "[W1] Ice Blast"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_Description"                   "Ледяной Призрак имеет шанс <% EKKAN_ARCANA_W1B_CHANCE %>% при атаках нанести дополнительный урон и обездвижить цели в радиусе <% EKKAN_ARCANA_W1B_RADIUS %> от основной."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_property_one"                  "Длительность обездвиживания"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_suffix"                        " сек"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_property_two"                  "Урон"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_suffix_two"                    "% от Магической Защиты Ледяного Призрака"

        "DOTA_Tooltip_modifier_frost_wraith_w_1_root"                              "Ice Blast"
        "DOTA_Tooltip_modifier_frost_wraith_w_1_root_Description"                 "Обездвижен"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b"                               "[W2] Icicle Spears"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_Description"                   "Когда Ледяные Призраки получают урон, с шансом <% EKKAN_ARCANA_W2B_CHANCE %>% выпускаются ледяные копья (<% EKKAN_ARCANA_W2B_SPEAR_COUNT %> шт.)в случайные цели поблизости. Противники, задетые копьями получают то же замедление, что и от основных атак Призраков."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_property_one"                  "Урон Ледяных Копий"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_suffix"                        "% от Урона Атаки Ледяных Призраков"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_property_two"                  "Радиус поражения Копий"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b"                               "[W3] Freezing Rain"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_Description"                   "Ледяные Призраки получают способность вызвать Морозный Дождь в зону радиусом <% EKKAN_ARCANA_W3B_RADIUS %>, что значительно замедляет скорость передвижения противников на <% EKKAN_ARCANA_W3B_PCT_SLOW_DURATION %> сек."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_property_one"                  "Урон"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_suffix"                        "% от Пробития Магической Защиты Ледяных Призраков"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_property_two"                  "Замедление Скорости"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_suffix_two"                    "%"

        "DOTA_Tooltip_ability_ekkan_frost_wraith_freezing_rain"                       "Морозный Дождь"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_freezing_rain_Description"           "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#87D9FF\">Лёд</font><br>Вызывает Морозный Дождь в выбранную зону, который нанесет урон с задержкой в <% EKKAN_ARCANA_W3B_DAMAGE_DELAY %> сек и замедлит противников на <% EKKAN_ARCANA_W3B_PCT_SLOW_DURATION %> сек." 

        "DOTA_Tooltip_frost_wraith_freezing_rain_effect"                               "Freezing Rain"
        "DOTA_Tooltip_frost_wraith_freezing_rain_effect_Description"                   "Скорость перемещения снижена"

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b"                               "[W4] Eternal Cold"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_Description"                   "Увеличивает длительность существования Ледяных Призраков. Дополнительно увеличивает урон <font color=\"#5C776E\">Нежити</font> и <font color=\"#87D9FF\">Льда</font>."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_property_one"                  "Увеличение длительности жизни"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_suffix"                        " сек"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_property_two"                  "Элементальный урон <font color=\"#5C776E\">Нежити</font> и <font color=\"#87D9FF\">Льда</font>"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_suffix_two"                    "%"

        //ARCANA2 - c
        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2c"                      "Wretched Grasp of Cruxys"

        "item_property_ekkan_arcana2c"                                       "Abyssal Reanimation (Огонь)"
        "property_ekkan_arcana2c_description"                                "Заменяет @Ability2 и её руны на Вызов Горящих Легионеров."

        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire"                        "Summon Burning Legionnaire"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_Description"            "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#EF4126\">Огонь</font><br>Enemies that die within 1500 of Ekkan leave a pile of their bones at their point of death. Ekkan can target an area containing corpses to summon Burning Legionnaires that fight for him. Burning Legionnaires have a fire attack that deals an additional instance of Pure damage."
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_max_skeletons"          "MAX SKELETONS:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_skeleton_duration"      "ВРЕМЯ СУЩЕСТВОВАНИЯ:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_armor_mult"             "МНОЖИТЕЛЬ БРОНИ И ЗАЩИТЫ ГОРЯЩИХ ЛЕГИОНЕРОВ ОТ БРОНИ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_attack_mult"            "МНОЖИТЕЛЬ АТАКИ ГОРЯЩИХ ЛЕГИОНЕРОВ ОТ АТАКИ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_skeleton_health"        "% ЗДОРОВЬЕ ГОРЯЩИХ ЛЕГИОНЕРОВ % ОТ ЗДОРОВЬЯ EKKAN:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_fire_damage"        	"% УРОН ОГНЕННЫХ АТАК:"

        "ekkan_burning_legionnaire"                                         "Горящий Легионер"

        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive"                   "Пламенная Атака"
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive_Description"       "Атаки наносят дополнительный Чистый урон."  
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive_fire_damage"         "% УРОН ОГНЕННЫХ АТАК:"

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c"                               "[W1] Heat Frenzy"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_Description"                   "Горящие Легионеры получают перманентный урон атаки и скорость атаки от противников, умирающих поблизости в радиусе <% EKKAN_ARCANA_W1C_RANGE %>."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_property_one"                  "Базовый Урон Атаки за заряд"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_suffix"                        ""
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_property_two"                  "Скорость Атаки за заряд"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_modifier_burning_legionnaire_w_1_visible"                              "Heat Frenzy"
        "DOTA_Tooltip_modifier_burning_legionnaire_w_1_visible_Description"                 "Урон Атаки и Скорость Атаки перманентно увеличены"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c"                               "[W2] Cloak of Flame"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_Description"                   "Горящие Легионеры получают Огненную Мантию, окружающую их пламенем. Противники в радиусе <% EKKAN_ARCANA_W2C_RADIUS %> от них получают урон каждые <% EKKAN_ARCANA_W2C_DAMAGE_INTERVAL %> сек, основанный на Уроне Атаке Горящих Легионеров. Мантии также пассивно увеличивают Броню Легионеров."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_property_one"                  "Урон от огня"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_suffix"                        "% от Урона Атаки Легионеров"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_property_two"                  "Броня"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c"                               "[W3] Skeletal Mortar"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_Description"                   "Горящие Легионеры получают способность совершать рывок вперед к цели и наносить урон в области приземления, в радиусе <% EKKAN_ARCANA_W3C_RADIUS %>."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_property_one"                  "Урон"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_suffix"                        "% от Урона Атаки Легионеров"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_property_two"                  "Максимальная дальность рывка"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_skeletal_mortar"                       "Skeletal Mortar"
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_skeletal_mortar_Description"           "Элемент: <font color=\"#5C776E\">Нежить</font> / <font color=\"#EF4126\">Огонь</font><br>Прыгает к цели и наносит урон по области <% EKKAN_ARCANA_W3C_RADIUS %>." 

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c"                               "[W4] Enrapturing Flame"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_Description"                   "Увеличивает длительность существования Горящих Легионеров. Дополнительно увеличивает урон <font color=\"#5C776E\">Нежити</font> и <font color=\"#EF4126\">Огня</font>."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_property_one"                  "Увеличение длительности жизни"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_suffix"                        " сек"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_property_two"                  "Элементальный Урон <font color=\"#5C776E\">Нежити</font> и <font color=\"#EF4126\">Огня</font>"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_suffix_two"                    "%"
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_1_1"		"[T1-1] Glyph of Undead Army"
		"item_rpc_ekkan_glyph_1_1_description" 				"Увеличивает максимальное количество призываемых скелетов на <% EKKAN_GLYPH_1_1_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_2_1"		"[T2-1] Glyph of Corpses"
		"item_rpc_ekkan_glyph_2_1_description" 				"(E) Acheron's portal создаёт рядом с местом применения трупы в количестве <% EKKAN_GLYPH_2_1_E_SPAWN_CORPSES %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_3_1"		"[T3-1] Glyph of Reanimation"
		"item_rpc_ekkan_glyph_3_1_description" 				"Увеличивает длительность жизни призываемых скелетов на <% EKKAN_GLYPH_3_1_SKELETON_DURATION_INCREASE_PCT %>%."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_4_1"		"[T4-1] Glyph of Supercharge"
		"item_rpc_ekkan_glyph_4_1_description" 				"(R) Soul charge дополнительно увеличивает скорость атаки на <% EKKAN_GLYPH_4_1_R_AS_INCREASE %> и скорость передвижения на <% EKKAN_GLYPH_4_1_R_MS_INCREASE %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_1"		"[T5-1] Glyph of Domination"
		"item_rpc_ekkan_glyph_5_1_description" 				"Увеличивает максимальное количество подчинённых юнитов на <% EKKAN_GLYPH_5_1_Q_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_6_1"		"[T6-1] Glyph of Gargoyles"
		"item_rpc_ekkan_glyph_6_1_description" 				"Увеличивает максимальное количество призываемых гаргулий на <% EKKAN_GLYPH_6_1_E_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_7_1"		"[T7-1] Glyph of Super Skeleton"
		"item_rpc_ekkan_glyph_7_1_description" 				"Призванный король скелетов может задеть сразу <% EKKAN_GLYPH_7_1_R3_MORE_TARGETS %> дополнительных цели."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_a"		"[T5-a] Glyph of Black Scourge"
		"item_rpc_ekkan_glyph_5_a_description" 				"Увеличивает максимальное расстояние, на которые подконтрольные юниты могут отойти от героя на <% EKKAN_GLYPH_5_A_LEASH_RANGE_INCREASE %>."
		
		
		//Weapons
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_00"		"Trapped Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_01"		"Empty Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_02"		"Void Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_03"		"Dark Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_11"		"Trapped Souls of the Dominated"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_12"		"Souls of Cronus"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_13"		"Souls of Hades"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_14"		"Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_21"		"Eternal Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_22"		"Eternal Souls of Persephone"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_23"		"Eternal Souls of Macaria"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_24"		"Souls of Thanatos"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_25"		"Five Rivers Souls of the Underworld"
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_1"			"Soul Reacher"
		"item_property_ekkan_immortal_weapon"							"Soul Collector"
		"property_ekkan_immortal_weapon_description"					"Прохождение рядом с трупом позволяет поглотить его и получить дополнительно 100000 базового урона. Максимум 6 бонусов, длительность 10 сек."
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_2"            "Encroaching Reach of Ymir"
        "item_property_ekkan_immortal_weapon2"                             "Gargoyle Command"
        "property_ekkan_immortal_weapon2_description"                      "Гаргульи наносят дополнительный чистый урон, равный @special_property1% от их текущего урона."

        "DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_3"            "Tormented Depth Spirits"
        "item_property_ekkan_immortal_weapon3"                             "Zombility"
        "property_ekkan_immortal_weapon3_description"                      "Магический и чистый урон, напрямую наносимый умениями подчинённых юнитов увеличен в @special_property1 раз(а)."
