		//Abilities
		"ekkan_corpse"														"Corpse"
        "item_property_ekkan_arcana2b"                                       "Abyssal Reanimation (Ice)"
        "property_ekkan_arcana2b_description"                                "Replaces @Ability2 and all of its runes with Summon Frost Wraith."

        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith"                        "Summon Frost Wraith"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_Description"            "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_ICE>Ice</font><br>Enemies that die within 1500 of Ekkan leave a pile of their bones at their point of death. Ekkan can target an area containing corpses to summon Frost Wraiths that fight for him. Frost Wraiths have an ice attack that slows enemy attack and movespeed."
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_max_skeletons"          "MAX FROST WRAITHS:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_skeleton_duration"      "FROST WRAITH LIFE DURATION:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_armor_mult"             "FROST WRAITH ARMOR AND MAGIC ARMOR MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_attack_mult"            "FROST WRAITH ATTACK POWER MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_skeleton_health"        "% FROST WRAITH HEALTH AS PERCENT OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_duration"        "COLD ATTACK DURATION:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_ms_slow"          "COLD MOVESPEED SLOW:"
        "DOTA_Tooltip_ability_ekkan_arcana2_frost_wraith_cold_as_slow"          "COLD ATTACKSPEED SLOW:" 

        "DOTA_Tooltip_modifier_frost_wraith_basic_chilled"                   "Frost Wraith Chill"
        "DOTA_Tooltip_modifier_frost_wraith_basic_chilled_Description"       "Slowed"

        "ekkan_frost_wraith"                                                        "Frost Wraith"

        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive"                   "Frost Attacks"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_Description"       "Attacks slow enemy movespeed and attack speed."  
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_duration"        "COLD ATTACK DURATION:"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_ms_slow"          "COLD MOVESPEED SLOW:"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_passive_cold_as_slow"          "COLD ATTACKSPEED SLOW:" 

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b"                               "[W1] Ice Blast"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_Description"                   "Frost Wraith's have a <% EKKAN_ARCANA_W1B_CHANCE %>% chance on attack to damage and root enemies in a <% EKKAN_ARCANA_W1B_RADIUS %> range."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_property_one"                  "Root Duration"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_suffix"                        " seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_property_two"                  "Ice Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2b_suffix_two"                    "% of Frost Wraith's Magic Armor"

        "DOTA_Tooltip_modifier_frost_wraith_w_1_root"                              "Ice Blast"
        "DOTA_Tooltip_modifier_frost_wraith_w_1_root_Description"                 "Rooted"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b"                               "[W2] Icicle Spears"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_Description"                   "When Frost Wraiths take damage, there is a <% EKKAN_ARCANA_W2B_CHANCE %>% chance to throw <% EKKAN_ARCANA_W2B_SPEAR_COUNT %> icicle spears at random targets within range. Enemies hit by Icicle Spears have Frost Wraith's basic slow applied to them."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_property_one"                  "Icicle Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_suffix"                        "% of Frost Wraith's Attack Power"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_property_two"                  "Maximum Icicle Range"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2b_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b"                               "[W3] Freezing Rain"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_Description"                   "Frost Wraiths have the ability to drop Freezing Rain on a <% EKKAN_ARCANA_W3B_RADIUS %> radius area which greatly slows movement speed for <% EKKAN_ARCANA_W3B_PCT_SLOW_DURATION %> seconds."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_property_one"                  "Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_suffix"                        "% of Frost Wraith's Spell Pierce"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_property_two"                  "Movement Slow"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2b_suffix_two"                    "%"

        "DOTA_Tooltip_ability_ekkan_frost_wraith_freezing_rain"                       "Freezing Rain"
        "DOTA_Tooltip_ability_ekkan_frost_wraith_freezing_rain_Description"           "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_ICE>Ice</font><br>Drops Freezing Rain on the target area, impacting enemies on a <% EKKAN_ARCANA_W3B_DAMAGE_DELAY %> second delay and slowing them for <% EKKAN_ARCANA_W3B_PCT_SLOW_DURATION %> seconds." 

        "DOTA_Tooltip_frost_wraith_freezing_rain_effect"                               "Freezing Rain"
        "DOTA_Tooltip_frost_wraith_freezing_rain_effect_Description"                   "Reduced movement speed"

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b"                               "[W4] Eternal Cold"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_Description"                   "Increases Frost Wraiths' summon duration. Additionally enhances <font color=ELEMENT_UNDEAD>Undead</font> and <font color=ELEMENT_ICE>Ice</font> damage."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_property_one"                  "Frost Wraith Duration Increase"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_suffix"                        " seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_property_two"                  "Undead and Ice Damage Amp"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2b_suffix_two"                    "%"

        //ARCANA2 - c
        "DOTA_Tooltip_ability_item_rpc_ekkan_arcana2c"                      "Wretched Grasp of Cruxys"

        "item_property_ekkan_arcana2c"                                       "Abyssal Reanimation (Fire)"
        "property_ekkan_arcana2c_description"                                "Replaces @Ability2 and all of its runes with Summon Burning Legionnaire."

        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire"                        "Summon Burning Legionnaire"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_Description"            "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_FIRE>Fire</font><br>Enemies that die within 1500 of Ekkan leave a pile of their bones at their point of death. Ekkan can target an area containing corpses to summon Burning Legionnaires that fight for him. Burning Legionnaires have a fire attack that deals an additional instance of Pure damage."
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_max_skeletons"          "MAX LEGIONNAIRES:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_skeleton_duration"      "LEGIONNAIRE LIFE DURATION:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_armor_mult"             "LEGIONNAIRE ARMOR AND MAGIC ARMOR MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_attack_mult"            "LEGIONNAIRE ATTACK POWER MULTIPLE OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_skeleton_health"        "% LEGIONNAIRE HEALTH AS PERCENT OF EKKAN'S:"
        "DOTA_Tooltip_ability_ekkan_arcana2_burning_legionnaire_fire_damage"        "% FIRE ATTACK DAMAGE:"

        "ekkan_burning_legionnaire"                                         "Burning Legionnaire"

        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive"                   "Burning Attacks"
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive_Description"       "Attacks deal additional Pure damage."  
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_passive_fire_damage"         "% FIRE ATTACK DAMAGE:"

        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c"                               "[W1] Heat Frenzy"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_Description"                   "Burning Legionnaires gain permanent attack damage and attack speed from enemies who die within <% EKKAN_ARCANA_W1C_RANGE %> range."
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_property_one"                  "Attack Damage per Stack"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_suffix"                        ""
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_property_two"                  "Attack Speed per Stack"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_modifier_burning_legionnaire_w_1_visible"                              "Heat Frenzy"
        "DOTA_Tooltip_modifier_burning_legionnaire_w_1_visible_Description"                 "Permanently increased Attack Damage and Attack Speed"  

        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c"                               "[W2] Cloak of Flame"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_Description"                   "A Cloak of Flames surrounds Burning Legionnaires. Enemies within its <% EKKAN_ARCANA_W2C_RADIUS %> range take damage every <% EKKAN_ARCANA_W2C_DAMAGE_INTERVAL %> seconds based on Burning Legionnaire's Attack Damage. The flames also passively increase Burning Legionnaires' Armor."
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_property_one"                  "Burn Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_suffix"                        "% of Legionnaire Attack Power"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_property_two"                  "Bonus Armor"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c"                               "[W3] Skeletal Mortar"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_Description"                   "Burning Legionnaires gain the ability to jump toward the target location and deal damage at the landing point in a <% EKKAN_ARCANA_W3C_RADIUS %> radius area."
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_property_one"                  "Impact Damage"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_suffix"                        "% of Legionnaire Attack Power"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_property_two"                  "Maximum Jump Range"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_arcana2c_suffix_two"                    ""

        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_skeletal_mortar"                       "Skeletal Mortar"
        "DOTA_Tooltip_ability_ekkan_burning_legionnaire_skeletal_mortar_Description"           "Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_FIRE>Fire</font><br>Jumps toward the target location and deals damage in <% EKKAN_ARCANA_W3C_RADIUS %> area." 

        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c"                               "[W4] Enrapturing Flame"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_Description"                   "Increases Burning Legionnaires' summon duration. Additionally enhances <font color=ELEMENT_UNDEAD>Undead</font> and <font color=ELEMENT_FIRE>Fire</font> damage."
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_property_one"                  "Burning Legionnaire Duration Increase"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_suffix"                        " seconds"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_property_two"                  "Undead and Fire Damage Amp"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_arcana2c_suffix_two"                    "%"
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_1_1"		"[T1-1] Glyph of Undead Army"
		"item_rpc_ekkan_glyph_1_1_description" 				"Increases the max number of concurrent skeleton summons by <% EKKAN_GLYPH_1_1_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_2_1"		"[T2-1] Glyph of Corpses"
		"item_rpc_ekkan_glyph_2_1_description" 				"Acheron's portal creates <% EKKAN_GLYPH_2_1_E_SPAWN_CORPSES %> corpses around the cast point."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_3_1"		"[T3-1] Glyph of Reanimation"
		"item_rpc_ekkan_glyph_3_1_description" 				"Skeleton life duration is increased by <% EKKAN_GLYPH_3_1_SKELETON_DURATION_INCREASE_PCT %>%."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_4_1"		"[T4-1] Glyph of Supercharge"
		"item_rpc_ekkan_glyph_4_1_description" 				"Soul charge increases attack speed by an additional <% EKKAN_GLYPH_4_1_R_AS_INCREASE %> and increases movespeed by <% EKKAN_GLYPH_4_1_R_MS_INCREASE %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_1"		"[T5-1] Glyph of Domination"
		"item_rpc_ekkan_glyph_5_1_description" 				"Increases the max number of concurrent Dark Dominion units by <% EKKAN_GLYPH_5_1_Q_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_6_1"		"[T6-1] Glyph of Gargoyles"
		"item_rpc_ekkan_glyph_6_1_description" 				"Increases max concurrent familiars by <% EKKAN_GLYPH_6_1_E_ADD_UNITS %>."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_7_1"		"[T7-1] Glyph of Super Skeleton"
		"item_rpc_ekkan_glyph_7_1_description" 				"Reanimated Skeleton King zaps <% EKKAN_GLYPH_7_1_R3_MORE_TARGETS %> additional enemies at a time."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_a"		"[T5-a] Glyph of Black Scourge"
		"item_rpc_ekkan_glyph_5_a_description" 				"Increases leash range on minions by <% EKKAN_GLYPH_5_A_LEASH_RANGE_INCREASE %>."
		
		
		//Weapons
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_00"		"Trapped Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_01"		"Empty Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_02"		"Void Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_03"		"Dark Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_11"		"Trapped Souls of the Dominated"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_12"		"Souls of Cronus"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_13"		"Souls of Hades"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_14"		"Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_21"		"Eternal Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_22"		"Eternal Souls of Persephone"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_23"		"Eternal Souls of Macaria"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_24"		"Souls of Thanatos"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_25"		"Five Rivers Souls of the Underworld"
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_1"			"Soul Reacher"
		"item_property_ekkan_immortal_weapon"							"Soul Collector"
		"property_ekkan_immortal_weapon_description"					"Walking over a corpse collects it and adds <% EKKAN_IMMORTAL_WEAPON_1_BASE_DAMAGE %> base attack damage. Max 6 corpses and corpses last 10 seconds."
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_2"            "Encroaching Reach of Ymir"
        "item_property_ekkan_immortal_weapon2"                             "Gargoyle Command"
        "property_ekkan_immortal_weapon2_description"                      "Ekkan's familiars' attacks deal an extra @special_property1% pure damage based on their attack power."

        "DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_3"            "Tormented Depth Spirits"
        "item_property_ekkan_immortal_weapon3"                             "Zombility"
        "property_ekkan_immortal_weapon3_description"                      "Damage directly by Dominion units is increased by @special_property1x."
