	"rpc_tutorial"														"Roshpit Tutorial (Coming Soon)"
	"tutorial_quiz_question_13"											"Какой из типов урона @sub1?"

	"tutorial_quiz_wrong_4_2_5"											"Никак нет."
	"tutorial_quiz_wrong_4_2_6"											"У тебя был шанс 1/3 ответить верно..."

	"tutorial_quiz_question_13_sub1"									"снижается броней"
	"tutorial_quiz_question_13_sub2"									"снижается по закону убывающей полезности"
	"tutorial_quiz_question_13_sub3"									"пробивает и броню, и сопротивление к магии"

	"tutorial_master_dialogue_4_2l"										"Да! Тогда ладно, ты знаешь все что нужно."
