		"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"
    	"item_rpc_guardian_greaves_ruby1"								"Передвижение на дистанцию @ruby_property1 активирует Guardian's Stride"
    	"item_rpc_guardian_greaves_emerald1"								"Guardian's Stride применяет щит, увеличивающий Броню и Пробитие Брони на @emerald_property1x от Ловкости героя на <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %> сек"
    	"item_rpc_guardian_greaves_sapphire1"								"Повышает Силу и Интеллект на @sapphire_property1"
    	"item_rpc_guardian_greaves_amethyst1"								"Guardian's Stride применяет щит, увеличивающий Магическую Защиту и её Пробитие на @amethyst_property1x от Духа героя на <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %> сек"

    	"DOTA_Tooltip_ability_item_rpc_harvester_boots"									"Harvester Boots"
    	"item_rpc_harvester_boots_ruby1"									"Увеличивает показатель в первой строке этого предмета на @ruby_property1%"
    	"item_rpc_harvester_boots_emerald1"									"Увеличивает показатель в третьей строке этого предмета на  @emerald_property1%"
    	"item_rpc_harvester_boots_sapphire1"									"Увеличивает показатель во второй строке этого предмета на  @sapphire_property1%"
    	"item_rpc_harvester_boots_amethyst1"									"Увеличивает показатель в четвертой строке этого предмета на  @amethyst_property1%"

		"DOTA_Tooltip_ability_item_rpc_ice_floe_slippers"	"Ice Floe Slippers"

		"item_property_ice_floe_slippers"					"Ice Floe"
		"property_ice_floe_slippers_description"			"Два приказа перемещения в одну и ту же точку создадут ледяную дорожку, по которой герой проскользит в точку назначения. Во время скольжения герой обездвижен и не получает Физический урон. Максимально возможная дистация скольжения равна <% ITEM_RPC_ICE_FLOE_SLIPPERS_TRAVEL_DISTANCE %>. Способность не может быть активирована, если герой оглушен или обездвижен."

		"item_rpc_ice_floe_slippers_ruby1"	"Увеличивает максимальную дистанцию на @ruby_property1 и герой может использовать способность в Обездвиживании"
		"item_rpc_ice_floe_slippers_emerald1"	"Увеличивает руну [E4] на @emerald_property1. Скорость скольжения повышена на @emerald_property2%"
		"item_rpc_ice_floe_slippers_sapphire1"	"Увеличивает урон <font color=\"#87D9FF\">Льда</font> Elemental и Базовый Урон Способностей на @sapphire_property1%, а также скорость скольжения на @sapphire_property2%"
		"item_rpc_ice_floe_slippers_amethyst1"	"Когда активируется скольжение, накладывает на героя щит, поглощающий @amethyst_property1 порций Магического или Чистого урона в течение <% ITEM_RPC_ICE_FLOE_SLIPPERS_MAGIC_SHIELD_DURATION %> сек."

		"DOTA_Tooltip_modifier_ice_floe_amethyst_shield"	"Ice Floe (Amethyst)"
		"DOTA_Tooltip_modifier_ice_floe_amethyst_shield_Description"	"Поглощает магический или чистый урон"

		"DOTA_Tooltip_ability_item_rpc_iron_treads_of_destruction"	"Iron Treads of Destruction"

		"item_property_iron_treads_of_destruction"					"Improved Initiative"
		"property_iron_treads_of_destruction_description"			"Прочтение @Ability4 происходит мгновенно."
        "item_rpc_iron_treads_of_destruction_ability_tooltip"		"Does not require channeling to complete."

		"item_rpc_iron_treads_of_destruction_ruby1"	"Увеличивает Базовый Урон Способности [R] на @ruby_property1%"
		"item_rpc_iron_treads_of_destruction_emerald1"	"Увеличивает все руны [R] на @emerald_property1"
		"item_rpc_iron_treads_of_destruction_sapphire1"	"Увеличивает все Атрибуты на @sapphire_property1"
		"item_rpc_iron_treads_of_destruction_amethyst1"	"Снижает перезарядку [R] на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_mana_striders"									"Mana Striders"
		"item_property_mana_striders"				"Mana Stride"
		"property_mana_striders_description"		"Восстанавливает <% ITEM_RPC_MANA_STRIDERS_MANA_RESTORE_PCT %>% от максимальной Маны каждые <% ITEM_RPC_MANA_STRIDERS_DISTANCE %> пройденной дистанции."
		
    	"item_rpc_mana_striders_ruby1"									"Текущая Мана увеличивает Пробитие Магической Защиты на @ruby_property1"
    	"item_rpc_mana_striders_emerald1"									"Увеличивает запас Маны на @emerald_property1, каждый 1% от текущей маны увеличивает Скорость Передвижения на @emerald_property2"
    	"item_rpc_mana_striders_sapphire1"									"Повышает Интеллект на @sapphire_property1, прочтение [E] восстанавливает @sapphire_property2% запаса Маны"
    	"item_rpc_mana_striders_amethyst1"									"Увеличивает Базовый Урон Способностей на @amethyst_property1% но прочтение любой способности дополнительно тратит @amethyst_property2% от максимальной Маны"
    	
    	"DOTA_Tooltip_ability_item_rpc_moon_tech_runners"								"Moon Tech Runners"

		"item_property_moon_techs"					"Moon Dust"
		"property_moon_techs_description"			"Прочтение @Ability3 создает облако лунной пыли в области <% ITEM_RPC_MOON_TECH_RUNNERS_RADIUS %>, снижающее скорость перемещения противников в нем на <% ITEM_RPC_MOON_TECH_RUNNERS_MS_SLOW_PCT %>%. Длится <% ITEM_RPC_MOON_TECH_RUNNERS_DURATION %> сек."

        "DOTA_Tooltip_moon_tech_aura"               "Moon Dust"
        "DOTA_Tooltip_moon_tech_aura_Description"   "Скорость передвижения снижена" 

    	"item_rpc_moon_tech_runners_ruby1"								"Противники в облаке пыли имеют сниженную на @ruby_property1 скорость атаки и получают урон @ruby_property2% от Силы Атаки героя каждые <% ITEM_RPC_MOON_TECH_RUNNERS_RUBY_INTERVAL %> сек"
    	"item_rpc_moon_tech_runners_emerald1"								"Приказ передвижения внутри облака телепортирует героя в эту точку и сбрасывает летящие в него снаряды. Перезарядка @emerald_property1 сек."
    	"item_rpc_moon_tech_runners_sapphire1"								"Противники в облаке пыли имеют сниженную на @sapphire_property1 Магическую Защиту и дополнительный @sapphire_property2% шанс промахнуться атакой"
    	"item_rpc_moon_tech_runners_amethyst1"								"Увеличивает Урон Предметов и урон <font color=\"#C25DFC\">Космоса</font> на @amethyst_property1%"

        "DOTA_Tooltip_modifier_moon_tech_emerald_cd"    "Moon Tech Runners (Emerald) Перезарядка"

        "DOTA_Tooltip_ability_item_rpc_neptunes_water_gliders"                          "Neptune's Water Gliders"

        "item_property_neptune"                     "Puddle Drifter"
        "property_neptune_description"              "Приказ перемещения позволяет герою скользить по ландшафту и двигаться быстрее."

        "item_rpc_neptunes_water_gliders_ruby1"                         "Интеллект увеличивает Скорость Передвижения и Скорость Атаки на @ruby_property1"
        "item_rpc_neptunes_water_gliders_emerald1"                          "Прочтение [E] создаёт лужу воды радиусом <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_EMERALD_RADIUS %>. Герой внутри лужи получает бонус @emerald_property1 регенерации Маны, @emerald_property2 Магической Защиты и Пробития Магической Защиты"
        "item_rpc_neptunes_water_gliders_sapphire1"                         "Прочтение [W] создает водный фонтан, который подкинет героя вперед на <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_SAPPHIRE_JUMP_HEIGHT %> единиц. Перезарядка @sapphire_property1 сек. Может быть активировано только при контанке с землей. По приземлении оглушает противников на @sapphire_property2 сек и наносит урон в @sapphire_property3% от Силы Атаки героя в радиусе <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_SAPPHIRE_RADIUS %>"
        "item_rpc_neptunes_water_gliders_amethyst1"                         "Увеличивает руны Т3 на @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_oceanrunner_boots"                   "Oceanrunner Boots" 
        "property_oceanrunner"                                              "Oceanrunner"
        "property_oceanrunner_Description"                                  "Ловкость увеличивает Базовый Урон Способностей на <% ITEM_RPC_OCEANRUNNER_BOOTS_AGI_TO_BAD %>%."

        "item_rpc_oceanrunner_boots_ruby1"                  "Каждые <% ITEM_RPC_OCEANRUNNER_BOOTS_RUBY_TRAVEL_DISTANCE %> пройденной дистанции вызывает шквал воды, оглушающий противников на @ruby_property1 сек и наносящий урон @ruby_property2% от Силы Атаки героя в области @ruby_property3"
        "item_rpc_oceanrunner_boots_emerald1"                   "Повышает Ловкость на @emerald_property1 и Скорость Передвижения на @emerald_property2"
        "item_rpc_oceanrunner_boots_sapphire1"                  "Ловкость увеличивает Урон Предметов на @sapphire_property1%"
        "item_rpc_oceanrunner_boots_amethyst1"                  "Получает @amethyst_property1% Бонусной Силы Атаки во время движения"

        "DOTA_Tooltip_ability_item_rpc_pathfinders_resonant_boots"                      "Pathfinder's Resonant Boots"

        "item_property_pathfinder"                  "Purifying Resonance"
        "property_pathfinder_description"           "Если герой не получает урон <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_DELAY %> сек, восстанавливает <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_HP_RESTORE_PCT %>% от максимального Здоровья и <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_MANA_RESTORE_PCT %>% максимальной Маны каждую секунду."

        "DOTA_Tooltip_modifier_resonant_boots_active"                   "Purifying Resonance"
        "DOTA_Tooltip_modifier_pathfinder_resonant_cooldown"            "Purifying Resonance Cooldown"

        "item_rpc_pathfinders_resonant_boots_ruby1"                     "Снижает задержку активного эффекта на @ruby_property1"
        "item_rpc_pathfinders_resonant_boots_emerald1"                      "Активный эффект повышает Пробитие Брони и Пробитие Магической Защиты на @emerald_property1"
        "item_rpc_pathfinders_resonant_boots_sapphire1"                     "Активный эффект повышает Базовый Урон Способностей на @sapphire_property1%"
        "item_rpc_pathfinders_resonant_boots_amethyst1"                     "Активный эффект повышает Бонусную Силу Атаки на @amethyst_property1%"

        "DOTA_Tooltip_ability_item_rpc_pegasus_boots"   "Pegasus Boots"

        "item_property_pegasus"                 "Aileron Sprint"
        "property_pegasus_description"          "Лимит Скорости Передвижения увеличен на <% ITEM_RPC_PEGASUS_BOOTS_MAX_MS %>."

        "item_rpc_pegasus_boots_ruby1"  "Если [E] имеет компонент движения, оно происходит на @ruby_property1% быстрее"
        "item_rpc_pegasus_boots_emerald1"   "Увеличивает Скорость Передвижения на @emerald_property1%"
        "item_rpc_pegasus_boots_sapphire1"  "Прочтение [W] перемещеает героя вперед. Перезарядка @sapphire_property1 сек"
        "item_rpc_pegasus_boots_amethyst1"  "Увеличивает Бонусную Атаку на @amethyst_property1% от пройденной дистанции за <% ITEM_RPC_PEGASUS_BOOTS_AMETHYST_THINK_INTERVAL %> сек. Максимальный бонус @amethyst_property2% Силы Атаки"

        "DOTA_Tooltip_modifier_pegasus_wing_dash_cd"    "Aileron Sprint (Sapphire) Cooldown"

        "DOTA_Tooltip_ability_item_rpc_pivotal_swiftboots"  "Pivotal Swiftboots"

        "item_property_pivotal"                 "Juke"
        "property_pivotal_description"          "Поворот героя происходит мгновенно. Быстрый поворот на 180° увеличивает Лимит Скорости Передвижения на <% ITEM_RPC_PIVOTAL_SWIFTBOOTS_MAX_MS %> и даёт герою бонус Скорости Передвижения в <% ITEM_RPC_PIVOTAL_SWIFTBOOTS_MS %>, постепенно уменьшающийся в течение 4 секунд. Эффект не имеет перезарядки."

        "DOTA_Tooltip_modifier_pivotal_swift"   "Juke"
        "DOTA_Tooltip_modifier_pivotal_swift_Description"   "Скорость передвижения увеличена, но уменьшается в течение 4 секунд"

        "item_rpc_pivotal_swiftboots_ruby1" "Увеличивает активный бонус к скорости на @ruby_property1 и длительность эффекта на @ruby_property2 сек"
        "item_rpc_pivotal_swiftboots_emerald1"  "Герой получает @emerald_property1% меньше урона со спины (<% ITEM_RPC_PIVOTAL_SWIFTBOOTS_EMERALD_ANGLE_DEGREES%>° угол)"
        "item_rpc_pivotal_swiftboots_sapphire1" "Увеличивает руны [E1] и [E2] на @sapphire_property1"
        "item_rpc_pivotal_swiftboots_amethyst1" "При активном эффекте Базовый Урон Способностей и Урон Предметов повышаются на @amethyst_property1% от текущего бонуса к скорости от эффекта ботинок"

        "DOTA_Tooltip_ability_item_rpc_redfall_runners"                                 "Redfall Runners"

        "item_property_redfall_runners"                 "Adventurous Miler"
        "property_redfall_runners_description"              "Ловкость и Дух увеличивают Скорость Передвижения на <% ITEM_RPC_REDFALL_RUNNERS_MS_PER_AGI_AND_SPR %> и Лимит Скорости Передвижения на <% ITEM_RPC_REDFALL_RUNNERS_MAX_MS_PER_AGI_AND_SPR %>."
        "DOTA_Tooltip_modifier_redfall_runners"      "Adventurous Miler"
         "DOTA_Tooltip_modifier_redfall_runners_Description"    "Скорость Передвижения увеличена Ловкостью и Духом"

        "item_rpc_redfall_runners_ruby1"                                    "При 100% Здоровье герой получает дополнительно @ruby_property1 Скорости Передвижения и Лимита Скорости Передвижения"
        "item_rpc_redfall_runners_emerald1"                                 "Скорость Передвижения увеличивает Базовый Урон Способностей на @emerald_property1%"
        "item_rpc_redfall_runners_sapphire1"                                    "Скорость Передвижения увеличивает Пробития Брони и Магической Защиты на @sapphire_property1"
        "item_rpc_redfall_runners_amethyst1"                                    "Увеличивает Ловкость и Дух на @amethyst_property1"

        
        "DOTA_Tooltip_ability_item_rpc_red_october_boots"                               "Eternal Forest Striders"

        "item_property_red_october"                             "Bellow of Ages"
        "property_red_october_description"                      "Противники задетые @Ability3 имеют <% ITEM_RPC_RED_OCTOBER_BOOTS_PROC_CHANCE %>% шанс вызвать временной парадокс в радиусе <% ITEM_RPC_RED_OCTOBER_BOOTS_RADIUS %>, который нанесет урон в <% ITEM_RPC_RED_OCTOBER_BOOTS_PROC_DAMAGE %>% от урона способности. Максимум <% ITEM_RPC_RED_OCTOBER_BOOTS_MAX_PROCS_PER_SECOND %> срабатываний в секунду."

        "item_rpc_red_october_boots_ruby1"                              "Увеличивает шанс срабатывания на @ruby_property1% и ограничение срабатываний в секунду на @ruby_property2"
        "item_rpc_red_october_boots_emerald1"                               "Увеличивает [E4] на @emerald_property1"
        "item_rpc_red_october_boots_sapphire1"                              "Увеличивает урон парадокса на @sapphire_property1, а радиус его на @sapphire_property2"
        "item_rpc_red_october_boots_amethyst1"                              "Увеличивает [E1] и [E2] на @amethyst_property2, и противники дополнительно обездвиживаются под действием эффекта на @amethyst_property1 сек"

        "DOTA_Tooltip_modifier_eternal_forest_strider_root"         "Bellow of Ages (Amethyst)"
        "DOTA_Tooltip_modifier_eternal_forest_strider_root_Description" "Обездвижен"

        "DOTA_Tooltip_ability_item_rpc_redrock_footwear"                                "Redrock Footwear"

        "item_property_redrock"                     "Fevering Footwork"
        "property_redrock_description"              "Прочтение @Ability3 активирует серию из <% ITEM_RPC_REDROCK_FOOTWEAR_NUMBER_OF_PULSES %> импульсов в течение <% ITEM_RPC_REDROCK_FOOTWEAR_DURATION_OF_PULSES %> сек, которые заставят попавших под действие противников атаковать героя-носителя в течение <% ITEM_RPC_REDROCK_FOOTWEAR_TAUNT_DURATION %> сек. Во время эффекта сопротивление героя к урону повышается на <% ITEM_RPC_REDROCK_FOOTWEAR_DAMAGE_REDUCTION_PCT %>%. Каждый импульс повышает Максимальное Здоровье героя на <% ITEM_RPC_REDROCK_FOOTWEAR_MAX_HEALTH_PCT_PER_PULSE %>%."

        "DOTA_Tooltip_modifier_redrock_footwear_taunt_effect"   "Redrock Fever"
        "DOTA_Tooltip_modifier_redrock_footwear_taunt_effect_Description"   "Спровоцирован"

        "DOTA_Tooltip_modifier_redrock_footwear_caster_visible" "Fevering Footwork"
        "DOTA_Tooltip_modifier_redrock_footwear_caster_visible_Description" "Запас Здоровья увеличен"

        "item_rpc_redrock_footwear_ruby1"                               "Увеличивает запас Здоровья за импульс на @ruby_property1%"
        "item_rpc_redrock_footwear_emerald1"                                "Спровоцированные противники имеют сниженные на @emerald_property1 Броню и Пробитие Брони"
        "item_rpc_redrock_footwear_sapphire1"                               "Каждый импульс повышает Броню и Пробитие Брони героя на @sapphire_property1"
        "item_rpc_redrock_footwear_amethyst1"                               "Добавляет еще @amethyst_property1 импульсов"  

        "DOTA_Tooltip_ability_item_rpc_resplendent_rubber_boots"                        "Resplendent Rubber Boots"
        "item_property_resplendent_rubber"                  "Grounding"
        "property_resplendent_rubber_description"           "Снижает получаемый Магический урон на <% ITEM_RPC_RESPLENDENT_RUBBER_BOOTS_DMG_REDUCTION %>%."
        
        "item_rpc_resplendent_rubber_boots_ruby1"                       "Увеличивает [Q1] на @ruby_property1"
        "item_rpc_resplendent_rubber_boots_emerald1"                        "Увеличивает [E1] на @emerald_property1"
        "item_rpc_resplendent_rubber_boots_sapphire1"                       "Увеличивает [W1] на @sapphire_property1"
        "item_rpc_resplendent_rubber_boots_amethyst1"                       "Увеличивает [R1] на @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_rooted_feet"                                     "Rooted Feet"

        "item_property_rooted_feet"                 "Deep Earthen Grip"
        "property_rooted_feet_description"          "Пока герой стоит на месте, его Броня и Магическая защита повышаются в <% ITEM_RPC_ROOTED_FEET_ARMOR_AMP %> раз(а), регенерация Здоровья повышается на <% ITEM_RPC_ROOTED_FEET_HP_REGEN_PCT %>% и сопротивление урону на <% ITEM_RPC_ROOTED_FEET_DMG_REDUCTION %>%."

        "DOTA_Tooltip_modifier_rooted_feet_immobile_active" "Deep Earthen Grip"
        "DOTA_Tooltip_modifier_rooted_feet_immobile_active_Description" "Регенерация здоровья и защита повышены"

        "item_rpc_rooted_feet_ruby1"                                        "Эффект сохраняется еще @ruby_property1 секунды, если герой сдвигается с места"
        "item_rpc_rooted_feet_emerald1"                                     "Увеличивает регенерацию Здоровья от эффекта еще на @emerald_property1%"
        "item_rpc_rooted_feet_sapphire1"                                        "Во время активного эффекта герой получает @sapphire_property1 Пробития Брони и Пробития Магической Защиты"
        "item_rpc_rooted_feet_amethyst1"                                        "Во время активного эффекта герой получает @amethyst_property1% Сопротивления Эффектам"

        "DOTA_Tooltip_ability_item_rpc_sandstream_slippers"                             "Sandstream Slippers"

        "item_property_sandstream_slippers"                 "Sandstream"
         "property_sandstream_slippers_description"             "Прочтение @Ability3 создает область песчаной бури радиусом <% ITEM_RPC_SANDSTREAM_RADIUS %>, которая наносит урон в <% ITEM_RPC_SANDSTREAM_DMG_PCT_ATK_POWER %>% от Силы Атаки героя каждые <% ITEM_RPC_SANDSTREAM_DAMAGE_INTERVAL %> сек. Противники в песчаной буре имеют шанс <% ITEM_RPC_SANDSTREAM_SANDSTREAM_MISS_CHANCE %> промаха при атаке. Длительность <% ITEM_RPC_SANDSTREAM_SANDSTREAM_DURATION %> сек."
        
        "DOTA_Tooltip_modifier_sandstream_in_sandstorm"         "Sandstream"
        "DOTA_Tooltip_modifier_sandstream_in_sandstorm_Description" "Окружен песчаной бурей"

        "DOTA_Tooltip_modifier_sandstream_slippers_stack"      "Sandstream Stacks"
         "DOTA_Tooltip_modifier_sandstream_slippers_stack_Description"  "Заряд способности тратится при прочтении [E], и способность не уходит на перезарядку."

        "item_rpc_sandstream_slippers_ruby1"                                "Противники в буре теряют @ruby_property1 Скорости Передвижения и @ruby_property2 Скорости Атаки"
        "item_rpc_sandstream_slippers_emerald1"                             "Герой получает @emerald_property1 Скорости Передвижения и Лимита Скорости, пока находится внутри бури"
        "item_rpc_sandstream_slippers_sapphire1"                                 "Каждые @sapphire_property1 сек получает заряд Sandstream. Заряд тратится при использовании [E] и предотвращает перезарядку способности. Максимум <% ITEM_RPC_SANDSTREAM_SLIPPERS_SAPPHIRE_MAX_STACKS %> зарядов."
        "item_rpc_sandstream_slippers_amethyst1"                                "Увеличивает одновременное количество песчаных бурь на @amethyst_property1, длительность их на @amethyst_property2 и радиус на @amethyst_property3. Области разных бурь не могут перекрывать друг друга."

        "DOTA_Tooltip_ability_item_rpc_sange_boots"                                     "Sange Boots"

        "item_property_sange"                       "Combat Mastery S"
        "property_sange_description"                "Ловкость увеличивает Здоровье на <% ITEM_RPC_SANGE_BOOTS_HP_PER_AGI %> и Броню на <% ITEM_RPC_SANGE_BOOTS_ARMOR_PER_AGI %>."

        "item_rpc_sange_boots_ruby1"                                        "Увеличивает Силу на @ruby_property1"
        "item_rpc_sange_boots_emerald1"                                     "Увеличивает Ловкость на @emerald_property1"
        "item_rpc_sange_boots_sapphire1"                                        "Увеличивает Здоровье на @sapphire_property1%"
        "item_rpc_sange_boots_amethyst1"                                        "Ловкость увеличивает Базовую Атаку на @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_sonic_boots"                                     "Sonic Boots"

        "item_property_sonic_boots"                 "Sonic Speed"
        "property_sonic_boots_description"          "Прочтение @Ability3 увеличивает Скорость Атаки на <% ITEM_RPC_SONIC_BOOTS_ATTACK_SPEED %>, Скорость Передвижения на <% ITEM_RPC_SONIC_BOOTS_MOVESPEED %>, Лимит Скорости Передвижения на <% ITEM_RPC_SONIC_BOOTS_MAX_MOVESPEED %> и позволяет проходить сквозь существ <% ITEM_RPC_SONIC_BOOTS_DURATION %> сек."
        "DOTA_Tooltip_modifier_sonic_boots_effect"          "Sonic Speed"
        "DOTA_Tooltip_modifier_sonic_boots_effect_Description"  "Скорости атаки и перемещения увеличены"

        "item_rpc_sonic_boots_ruby1"                                        "Увеличивает Скорость Атаки при активном эффекте еще на  @ruby_property1"
        "item_rpc_sonic_boots_emerald1"                                     "Увеличивает Скорость Передвижения при активном эффекте еще на @emerald_property1"
        "item_rpc_sonic_boots_sapphire1"                                        "Увеличивает Лимит Скорости Передвижения при активном эффекте еще на  @sapphire_property1"
        "item_rpc_sonic_boots_amethyst1"                                        "Увеличивает Силу Атаки на @amethyst_property1% при активном эффекте"

         "DOTA_Tooltip_ability_item_rpc_steamboots"                                      "Steamboots"

        "item_property_steamboots"                      "Steamboots"
        "property_steamboots_description"               "Увеличивает Ловкость на <% ITEM_RPC_STEAMBOOTS_AGI_PER_LEVEL %>x от Уровня героя."

        "item_rpc_steamboots_ruby1"                                     "Увеличивает все руны T3 на @ruby_property1"
        "item_rpc_steamboots_emerald1"                                      "Повышает Ловкость на @emerald_property1 и Урон Предметов на @emerald_property2%"
        "item_rpc_steamboots_sapphire1"                                     "Ловкость увеличивает Магическую Защиту и Пробитие Магической Защиты на @sapphire_property1"
        "item_rpc_steamboots_amethyst1"                                     "Увеличивает руны [E1] и [E2] на @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_storm_pacer_sabatons"        "Storm Pacer Sabatons"

        "item_property_storm_pacer_sabatons"                        "Static Corona"
        "property_storm_pacer_sabatons_description"                 "Прочтение @Ability3 вызывает <% ITEM_RPC_STORM_PACER_SABATONS_RADIUS %>-АОЕ кольцевую волну плазмы, которая затем возвращается к герою, наносит урон противникам при контакте во время движения от героя и обратно. Наносит урон в <% ITEM_RPC_STORM_PACER_SABATONS_DMG_ATK_POWER_PCT %>% от Силы Атаки героя, элемент урона заимствуется из последней нанесенной героем порции урона. Перезарядка <% ITEM_RPC_STORM_PACER_SABATONS_COOLDOWN %> сек."
        "item_rpc_storm_pacer_sabatons_ability_tooltip"		"Can create a static ring on cast once every <% ITEM_RPC_STORM_PACER_SABATONS_COOLDOWN %>s."

        "item_rpc_storm_pacer_sabatons_ruby1"        "Увеличивает радиус кольца на @ruby_property1, а его урон на @ruby_property2"
        "item_rpc_storm_pacer_sabatons_emerald1"        "Урон кольца линейно растет по мере его расширения, достигая максимального множителя @emerald_property1x на границе максимального радиуса"
        "item_rpc_storm_pacer_sabatons_sapphire1"        "Увеличивает урон Элементов на @sapphire_property1%"
        "item_rpc_storm_pacer_sabatons_amethyst1"        "Снижает перезарядку кольца плазмы на @amethyst_property1 сек"

        
        "DOTA_Tooltip_ability_item_rpc_swamp_waders"                                    "Swamp Waders"
        "item_property_swamp_waders"                                    "Sticky Feet"
        "property_swamp_waders_description"                             "Снижает Скорость Передвижения на <% ITEM_RPC_SWAMP_WADERS_MOVESPEED_LOSS %> и скорость перемещения @Ability3 на <% ITEM_RPC_SWAMP_WADERS_E_TRAVEL_SPEED_LOSS %>%. Все позитивные и негативные эффекты на герое длятся на <% ITEM_RPC_SWAMP_WADERS_BUFF_DURATION_INCREASE %>% дольше."

        "item_rpc_swamp_waders_ruby1"                                   "Увеличивает Броню и Магическую Защиту на @ruby_property1. Этот бонус уменьшается на @ruby_property2 за каждую единицу Скорости Передвижения героя"
        "item_rpc_swamp_waders_emerald1"                                    "Создает облако болотного газа в области <% ITEM_RPC_SWAMP_WADERS_EMERALD_RADIUS %> каждые пройденные <% ITEM_RPC_SWAMP_WADERS_EMERALD_TRAVEL_DISTANCE %> юнитов дистанции, замедляющее противников на @emerald_property1% и наносящее урон в @emerald_property2% от Силы Атаки каждые <% ITEM_RPC_SWAMP_WADERS_EMERALD_THINK_INTERVAL %> сек. Ядовитое облако длится <% ITEM_RPC_SWAMP_WADERS_EMERALD_DURATION %> сек"
        "item_rpc_swamp_waders_sapphire1"                                   "Увеличивает перезарядку [E] на <% ITEM_RPC_SWAMP_WADERS_SAPPHIRE_CD_INCREASE %>%, но увеличивает Базовый Урон Способности [E] на @sapphire_property1%"
        "item_rpc_swamp_waders_amethyst1"                                   "Увеличивает Пробития Брони и Магической Защиты на @amethyst_property1. Этот бонус уменьшается на @ruby_property2 за каждую единицу Скорости Передвижения героя"

        "DOTA_Tooltip_modifier_swamp_waders_emerald_in_poison_cloud"        "Swamp Waders (Emerald)"
        "DOTA_Tooltip_modifier_swamp_waders_emerald_in_poison_cloud_Description"    "Taking damage with reduced movespeed"

        "DOTA_Tooltip_ability_item_rpc_temporal_warp_boots"                             "Temporal Warp Boots"

        "item_property_temporal_warp"                       "Time Warp"
        "property_temporal_warp_description"                "Два приказа передвижения в любую точку на карте, в которой имеется свободный обзор, телепортируют героя в это точку через <% ITEM_RPC_TEMPORAL_WARP_BOOTS_TELEPORT_TIME %> сек. Получение урона или любое действие отменяют телепортацию."
        "DOTA_Tooltip_modifier_temporal_warp_cooldown"      "Time Warp Cooldown"

        "item_rpc_temporal_warp_boots_ruby1"                                "Прочтение [E] возращает Ману, Здоровье, Перезарядки способностей (кроме [E]) а также позицию героя на @ruby_property1 секунды назад. Перезарядка <% ITEM_RPC_TEMPORAL_WARP_BOOTS_RUBY_COOLDOWN %> сек."
        "item_rpc_temporal_warp_boots_emerald1"                             "Увеличивает Урон Предметов и урон <font color=\"#B5FFB7\">Времени</font> на @emerald_property1%"
        "item_rpc_temporal_warp_boots_sapphire1"                                "Уменьшает время подготовки для телепортации на @sapphire_property1 сек"
        "item_rpc_temporal_warp_boots_amethyst1"                                "Флаг возрождения обеспечивает зону видимости @amethyst_property1 в течение @amethyst_property2 минут"

        "DOTA_Tooltip_ability_item_rpc_terrasic_lava_boots"                             "Terrasic Lava Boots"

        "item_property_terrasic_lava"                       "Magma Tread"
        "property_terrasic_lava_description"                "Позволяет ходить по лаве. Нахождение в лаве увеличивает Силу Атаки на <% ITEM_RPC_TERRASIC_LAVA_BOOTS_BONUS_ATTACK_DMG %>% и Скорость Атаки на <% ITEM_RPC_TERRASIC_LAVA_BOOTS_BONUS_ATTACK_SPEED %> на <% ITEM_RPC_TERRASIC_LAVA_BOOTS_DURATION %> сек."
        "DOTA_Tooltip_modifier_rpc_terrasic_lava_boot_effect"   "Magma Tread"
        "DOTA_Tooltip_modifier_rpc_terrasic_lava_boot_effect_Description"   "Урон атаки и скорость атаки повышены."

        "item_rpc_terrasic_lava_boots_ruby1"                                "Увеличивает Урон Предметов и урон <font color=\"#EF4126\">Огня</font> на @ruby_property1%"
        "item_rpc_terrasic_lava_boots_emerald1"                             "Прочтение [E] вызывает пламя дальностью @emerald_property1 <% ITEM_RPC_TERRASIC_LAVA_BOOTS_EMERALD_FLAME_RANGE %> из, так сказать, задней части героя, наносящее @emerald_property2% от Силы Атаки героя"
