    	"DOTA_Tooltip_ability_item_rpc_aquasteel_bracers"                                "Aquasteel Bracers"
		"property_sweeping_wind_description"				"Прочтение @Ability3 даёт заряд предмета. Каждый заряд увеличивает Атаку на <% ITEM_RPC_GLOVES_OF_SWEEPING_WIND_BONUS_DAMAGE_PER_STACK_PCT %>%. Каждую секунду противники в радиусе <% ITEM_RPC_GLOVES_OF_SWEEPING_WIND_RADIUS %> получают урон в размере <% ITEM_RPC_GLOVES_OF_SWEEPING_WIND_ATT_POWER_TO_DAMAGE_PCT %>% от Силы Атаки героя. Обычные атаки уменьшают заряды. Максимум <% ITEM_RPC_GLOVES_OF_SWEEPING_WIND_MAX_STACKS %> активных зарядов. Длительность <% ITEM_RPC_GLOVES_OF_SWEEPING_WIND_DURATION %> сек."
		"DOTA_Tooltip_modifier_sweeping_wind_stackable"	"Sweeping Winds"
		"DOTA_Tooltip_modifier_sweeping_wind_stackable_Description"	"Каждый заряд увеличивает Атаку и наносит урон ближайшим противникам."

    	"item_rpc_gloves_of_sweeping_wind_ruby1"							"@ruby_property1% шанс не потратить заряд при атаке"
    	"item_rpc_gloves_of_sweeping_wind_emerald1"							"Каждый заряд увеличивает урон <font color=\"#7AE2A7\">Ветра</font> на @emerald_property1%"
    	"item_rpc_gloves_of_sweeping_wind_sapphire1"							"Прочтение [W] имеет @sapphire_property1% добавить 1 заряд предмета"
    	"item_rpc_gloves_of_sweeping_wind_amethyst1"							"Увеличивает урон от эффекта на @amethyst_property1. Каждый заряд дополнительно увеличивает Базовый Урон Атаки на @amethyst_property2"

		"DOTA_Tooltip_ability_item_rpc_goldbreaker_gauntlet"			"Goldbreaker Gauntlet"

		"item_property_gold_breaker"							"Abjuration"
		"property_gold_breaker_description"					"Обычные атаки снимают Иммунитет к Заклинаниям с цели и не позволяют ей повторно получить иммунитет в течение <% ITEM_RPC_GOLDBREAKER_GAUNTLET_DEBUFF_DURATION %> сек. Пораженные противники, которые получат эффект Иммунитета к Заклинаниям в этот промежуток времени будут вместо этого очищены и оглушены на предполагаемую длительность иммунитета. При снятии Иммунитета с цели она получает урон в <% ITEM_RPC_GOLDBREAKER_GAUNTLET_DMG_ATTACK_PCT %>% от Силы Атаки героя."

		"DOTA_Tooltip_modifier_goldbreaker_effect"			"Abjuration"
		"DOTA_Tooltip_modifier_goldbreaker_effect_Description"	"Попыткпа получить Иммунитет к Заклинаниям обернется оглушением на такую же длительность."

		"item_rpc_goldbreaker_gauntlet_ruby1"			"Обычные атаки имеют шанс @ruby_property1% наложить Иммунитет к Заклинаниям на противника на @ruby_property2 сек"
		"item_rpc_goldbreaker_gauntlet_emerald1"			"Способность [R] накладывает эффект перчатки на противников на @emerald_property1 сек. Снятие Иммунитета наносит @emerald_property2 дополнительного урона по цели"
		"item_rpc_goldbreaker_gauntlet_sapphire1"			"Увеличивает Базовый Урон Атаки на @sapphire_property1. Противники, задетые [W], с шансом @sapphire_property2% получат эффект перчатки на <% ITEM_RPC_GOLDBREAKER_GAUNTLET_DEBUFF_DURATION %> сек"
		"item_rpc_goldbreaker_gauntlet_amethyst1"			"Противники в радиусе <% ITEM_RPC_GOLDBREAKER_GAUNTLET_AMETHYST_RANGE %> от героя имеют @amethyst_property1% шанс на получение @amethyst_property2 cек Иммунитета к Заклинаниям каждые<% ITEM_RPC_GOLDBREAKER_GAUNTLET_AMETHYST_THINK_INTERVAL %> сек."

    	"DOTA_Tooltip_ability_item_rpc_grand_arcanist_wraps"							"Wraps of the Grand Arcanist"
		"item_property_grand_arcanist"				"Master of Magic"
		"property_grand_arcanist_description"		"Любой Атрибут увеличивает Пробитие Магической Защиты на <% ITEM_RPC_GRAND_ARCANIST_WRAPS_SPELL_PIERCE_PER_ATTR %>."

    	"item_rpc_grand_arcanist_wraps_ruby1"							"Увеличивает Интеллект на @ruby_property1, Регенерацию Маны на by @ruby_property2, Пробитие Магической Защиты на @ruby_property3"
    	"item_rpc_grand_arcanist_wraps_emerald1"							"Каждое очко Интеллекта увеличивает Урон Предметов на @emerald_property1%"
    	"item_rpc_grand_arcanist_wraps_sapphire1"							"Каждое очко Интеллекта увеличивает Базовый Урон Способностей на @sapphire_property1%"
    	"item_rpc_grand_arcanist_wraps_amethyst1"							"Каждое очко Интеллекта увеличивает Урон Элементов на @amethyst_property1%"

		"DOTA_Tooltip_ability_item_rpc_grasp_of_elder"									"Grasp of the Elders"

		"item_property_elder_grasp"					"Sage's Grace"
		"property_elder_grasp_description"			"Исцеляет на <% ITEM_RPC_GRASP_OF_ELDER_HEAL_PCT %>% от максимального запаса Здоровья каждые <% ITEM_RPC_GRASP_OF_ELDER_HEAL_INTERVAL %>, если поблизости в радиусе <% ITEM_RPC_GRASP_OF_ELDER_SEARCH_RANGE %> нет противников."

		"item_rpc_grasp_of_elder_ruby1"									"Каждое очко Духа увеличивает запас Здоровья на @ruby_property1"
		"item_rpc_grasp_of_elder_emerald1"									"Каждое очко текущей Маны увеличивает Магическую Защиту на @emerald_property1"
		"item_rpc_grasp_of_elder_sapphire1"									"Увеличивает Дух на @sapphire_property1, и @sapphire_property2% любое исцеление также восстанавливает Ману"
		"item_rpc_grasp_of_elder_amethyst1"									"Дух увеличивает Пробитие Магической Защиты на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_gravekeepers_gauntlet"							"Gravekeeper's Gauntlet"
		"item_property_gravekeeper_gauntlet"				"Gravekeeper"
		"property_gravekeeper_gauntlet_description"		"Обычные атаки по противникам поглощает их <% ITEM_RPC_GRAVEKEEPERS_GAUNTLET_PIERCES %> Пробития Брони и Магической Защиты и передает показатели Герою, каждую секунду может быть получено не более <% ITEM_RPC_GRAVEKEEPERS_GAUNTLET_MAX_STACKS_PER_SEC %> зарядов поглощения, максимум <% ITEM_RPC_GRAVEKEEPERS_GAUNTLET_MAX_STACKS_TOTAL %> зарядов. Смена цели обнуляет заряды Героя. Заряды на противниках длятся <% ITEM_RPC_GRAVEKEEPERS_GAUNTLET_DEBUFF_DURATION %> сек или, если противник - Босс, <% ITEM_RPC_GRAVEKEEPERS_GAUNTLET_DEBUFF_DURATION_BOSS %> сек."
		"DOTA_Tooltip_modifier_gravekeeper_gauntlet_target"	"Grave Target"
		"DOTA_Tooltip_modifier_gravekeeper_gauntlet_target_Description"	"Пробития Брони и Магической Защиты украдены Героем."
		"DOTA_Tooltip_modifier_gravekeeper_gauntlet_buff"	"Gravekeeper"
		"DOTA_Tooltip_modifier_gravekeeper_gauntlet_buff_Description"	"Пробития Брони и Магической Защиты украдены у противника."

    	"item_rpc_gravekeepers_gauntlet_ruby1"							"Смена цели отнимает только @ruby_property1% активных зарядов на герое и применяет текущие заряды на следующего противника"
    	"item_rpc_gravekeepers_gauntlet_emerald1"							"Увеличивает допустимое количество зарядов эффекта в секунду на @emerald_property1"
    	"item_rpc_gravekeepers_gauntlet_sapphire1"							"@sapphire_property1% шанс на дополнительный заряд поглощения при атаках"
    	"item_rpc_gravekeepers_gauntlet_amethyst1"							"Дополнительно поглощает @amethyst_property1 скорости передвижения и скорости атаки за заряд"

    	"DOTA_Tooltip_ability_item_rpc_greensand_copper_gauntlets"						"Greensand Copper Gauntlets"
    	"item_property_greensand_copper_gauntlets"										"Burnished Lustre" 
    	"property_greensand_copper_gauntlets_description"								"Любые Самоцветы, инкрустированные в эти перчатки усилят Самоцветы такого же типа во всех остальных предметах Героя."

    	"item_rpc_greensand_copper_gauntlets_ruby1"						"Все <font color=\"#f02929\">Рубины</font> усиливаются на @ruby_property1%"
    	"item_rpc_greensand_copper_gauntlets_emerald1"						"Все <font color=\"#36d63b\">Изумруды</font> усиливаются на @emerald_property1%"
    	"item_rpc_greensand_copper_gauntlets_sapphire1"						"Все <font color=\"#388af5\">Сапфиры</font> усиливаются на @sapphire_property1%"
    	"item_rpc_greensand_copper_gauntlets_amethyst1"						"Все <font color=\"#c744b8\">Аметисты</font> усиливаются на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_halcyon_soul_glove"								"Halcyon Soul Glove"
		"item_property_halcyon_soul"						"Tempered Balance"
		 "property_halcyon_soul_description"				"Любой Атрибут усиливает Броню, Магическую Защиту и их Пробития на <% ITEM_RPC_HALCYON_SOUL_GLOVE_ARMORS_AND_PIERCES_PER_ATTR %>"

    	"item_rpc_halcyon_soul_glove_ruby1"								"Основной Атрибут героя дополнительно увеличивает Базовую Атаку на @ruby_property1"
    	"item_rpc_halcyon_soul_glove_emerald1"								"Все руны Т3 увеличиваются на @emerald_property1"
    	"item_rpc_halcyon_soul_glove_sapphire1"								"Все Атрибуты увеличиваются на @sapphire_property1"
    	"item_rpc_halcyon_soul_glove_amethyst1"								"Все руны Т1 и Т2 увеличиваются на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_hand_of_midas"									"Hand of Midas"

		"item_property_hand_of_midas"				"Прикосновение Мидаса"
		"property_hand_of_midas_description"		"<% ITEM_RPC_HAND_OF_MIDAS_CHANCE %>% шанс при обычных атаках нанести дополнительно <% ITEM_RPC_HAND_OF_MIDAS_ATTACK_DAMAGE_MULT %>% от урона атаки героя в радиусе <% ITEM_RPC_HAND_OF_MIDAS_RADIUS %> вокруг цели и превратить всех противников в золото (обездвиживая их) на <% ITEM_RPC_HAND_OF_MIDAS_FREEZE_DURATION %> сек. Максимум 1 трансмутация каждые <% ITEM_RPC_HAND_OF_MIDAS_FREEZE_CD %> сек."

    	"item_rpc_hand_of_midas_ruby1"									"Увеличивает шанс Прикосновения Мидаса на @ruby_property1%"
    	"item_rpc_hand_of_midas_emerald1"									"Увеличивает длительность трансмутации противников в золото на @emerald_property1 сек"
    	"item_rpc_hand_of_midas_sapphire1"									"Увеличивает радиус Прикосновения Мидаса на @sapphire_property1 и урон эффекта на @sapphire_property2"
    	"item_rpc_hand_of_midas_amethyst1"									"Увеличивает Скорость Атаки на @amethyst_property1 и Базовый Урон Атаки на @amethyst_property2"

    	"DOTA_Tooltip_ability_item_rpc_heavy_echo_gauntlet"								"Heavy Echo Gauntlet"

		"item_property_heavy_echo"						"Reactive Grip"
		"property_heavy_echo_description"				"Любой урон от Способностей или Предметов дополнительно повторится <% ITEM_RPC_HEAVY_ECHO_GAUNTLET_REPEATS %> раз."

    	"item_rpc_heavy_echo_gauntlet_ruby1"								"@ruby_property1% повторить урон от Способностей/Предметов еще один раз"
    	"item_rpc_heavy_echo_gauntlet_emerald1"								"Урон Способностей и Предметов увеличен на @emerald_property1%"
    	"item_rpc_heavy_echo_gauntlet_sapphire1"								"Обычные атаки повторяются еще раз. @sapphire_property1 сек перезарядка"
    	"item_rpc_heavy_echo_gauntlet_amethyst1"								"Каждые @amethyst_property1 сек получает возможность гарантированно повторить следующий урон Способностей/Предметов"

    	"DOTA_Tooltip_modifier_heavy_echo_extra_echo"	"Echo Gauntlet (Amethyst)"
    	"DOTA_Tooltip_modifier_heavy_echo_extra_echo_Description"	"Получает возможность гарантированно повторить следующий урон Способностей/Предметов"

    	"DOTA_Tooltip_ability_item_rpc_ironbound_gloves"								"Ironbound Gloves"

		"item_property_ironbound_gloves"					"Ironfist"
		"property_ironbound_gloves_description"				"Базовый Урон Атаки увеличен на <% ITEM_RPC_IRONBOUND_GLOVES_ATTACK_PER_ARMOR %>x от Брони героя. Снижает Скорость Атаки на <% ITEM_RPC_IRONBOUND_GLOVES_ATTACKSPEED_LOSS %>."

    	"item_rpc_ironbound_gloves_ruby1"								"Увеличивает весь <font color=\"#DDDDDD\">Нормальный</font> урон на @ruby_property1%"
    	"item_rpc_ironbound_gloves_emerald1"								"@emerald_property1% шанс полностью заблокировать входящий Физический урон"
    	"item_rpc_ironbound_gloves_sapphire1"								"Ловкость, Интеллект и Дух увеличивают Броню героя на @sapphire_property1"
    	"item_rpc_ironbound_gloves_amethyst1"								"Сила увеличивает Пробитие Брони на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_kappa_pride_gloves"								"Proud Gloves"
		"item_property_proud_gloves"										"Kaleidoscope"
		"property_proud_gloves_description"									"<RAINBOW>Базовые атаки приобретают Магический тип урона и случайный Элемент.</RAINBOW>"

    	"item_rpc_kappa_pride_gloves_ruby1"								"Увеличивает урон Элементов на @ruby_property1%"
    	"item_rpc_kappa_pride_gloves_emerald1"								"Любой урон имеет @emerald_property1% шанс заменить элемент следующей обычной атаки на элемент этого урона"
    	"item_rpc_kappa_pride_gloves_sapphire1"								"<% ITEM_RPC_KAPPA_PRIDE_GLOVES_SAPPHIRE_CHANCE %>% шанс при обычной атаке получить потрясающий воображение и рассудок бафф, увеличивающий скорость атаки на @sapphire_property1 и Силу Атаки на @sapphire_property2% в течение <% ITEM_RPC_KAPPA_PRIDE_GLOVES_SAPPHIRE_DURATION %> сек"
    	"item_rpc_kappa_pride_gloves_amethyst1"								"Обычные атаки с @amethyst_property1% шансом получают элемент с наибольшим показателем"

    	"DOTA_Tooltip_modifier_kappa_pride_special_element"					"Kaleidoscope (Emerald)"
    	"DOTA_Tooltip_modifier_kappa_pride_special_element_Description"		"Следующая атака заимствует элемент у порции урона, вызвавшего этот эффект "

    	"DOTA_Tooltip_modifier_kappa_pride_sapphire"						"Kaleidoscope (Sapphire)"
    	"DOTA_Tooltip_modifier_kappa_pride_sapphire_Description"			"Невероятный и немыслимый бафф, увеличивающий скорость атаки и силу атаки."

    	"DOTA_Tooltip_ability_item_rpc_living_gauntlet"									"Living Gauntlet"
		"item_property_living_gauntlet"				"Nourishment"
		"property_living_gauntlet_description"		"Если Мана героя ниже <% ITEM_RPC_LIVING_GAUNTLET_MANA_THRESHOLD %>%, то весь входящий урон снижается на <% ITEM_RPC_LIVING_GAUNTLET_DMG_REDUCTION %>% и регенерация Здоровья повышается на <% ITEM_RPC_LIVING_GAUNTLET_HP_REGEN_PCT %>% от максимального запаса Здоровья."
		"DOTA_Tooltip_modifier_living_gauntlet_effect"	"Nourishment"
		"DOTA_Tooltip_modifier_living_gauntlet_effect_Description"	"Урон снижен на <% ITEM_RPC_LIVING_GAUNTLET_DMG_REDUCTION %>%%, регенерация здоровья повышена на <% ITEM_RPC_LIVING_GAUNTLET_HP_REGEN_PCT %>%% от максимума"
    	"item_rpc_living_gauntlet_ruby1"									"Эффект предмета срабатывает также и при показателях Здоровья ниже @ruby_property1%"
    	"item_rpc_living_gauntlet_emerald1"									"Регенерация здоровья при активном эффекте увеличена еще на @emerald_property1% от максимального запаса Здоровья"
    	"item_rpc_living_gauntlet_sapphire1"									"Увеличивает порог Маны для срабатывания эффекта на @sapphire_property1% и эффект дополнительно увеличивает Броню и Магическую Защиту на @sapphire_property2"
    	"item_rpc_living_gauntlet_amethyst1"									"Сопротивление урону при активном эффекте повышается на @amethyst_property1%, а регенерация Здоровья дополнительно на @amethyst_property2"

		"DOTA_Tooltip_ability_item_rpc_magebane_gloves"									"Magebane Gloves"
		"item_rpc_magebane_gloves_ruby1"									"Увеличивает все руны T1 на @ruby_property1"
		"item_rpc_magebane_gloves_emerald1"									"Увеличивает все руны T2 на @emerald_property1"
		"item_rpc_magebane_gloves_sapphire1"									"Увеличивает все руны T1 на @sapphire_property1"
		"item_rpc_magebane_gloves_amethyst1"									"Увеличивает все руны T2 на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_malachite_shade_bracer"							"Malachite Shade Bracer"
		"item_property_malachite_shade"						"Verdant Flow"
		"property_malachite_shade_description"					"Базовый Урон Атаки увеличивается на <% ITEM_RPC_MALACHITE_SHADE_BRACER_BASE_ATTACK_FROM_HEALTH_AND_MANA_REGEN %>% от суммы регенераций Здоровья и Маны."

    	"item_rpc_malachite_shade_bracer_ruby1"							"Каждое очко Регенерации Здоровья увеличивает Броню на @ruby_property1"
    	"item_rpc_malachite_shade_bracer_emerald1"							"Каждое очко Ловкости увеличивает Регенерации Здоровья и Маны на @emerald_property1"
    	"item_rpc_malachite_shade_bracer_sapphire1"							"Каждое очко Регенерации Маны увеличивает Магическую Защиту на на @sapphire_property1"
    	"item_rpc_malachite_shade_bracer_amethyst1"							"Каждое очко Духа Здоровья увеличивает Регенерации Здоровья и Маны на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_marauder_gloves"									"Marauder Gloves"

		"item_property_marauder"					"Hand of Marauder"
		"property_marauder_description"				"Увеличивает Пробитие Брони на <% ITEM_RPC_MARAUDER_GLOVES_ARMOR_PIERCE_PCT %>%."

    	"item_rpc_marauder_gloves_ruby1"									"Увеличивает Пробитие Брони на @ruby_property1x от Скорости Передвижения"
    	"item_rpc_marauder_gloves_emerald1"									"Максимальный множитель урона, когда Пробитие Брони превышает Броню увеличен с х1 до х@emerald_property1"
    	"item_rpc_marauder_gloves_sapphire1"									"Физический урон игнорирует @sapphire_property1% Брони противников"
    	"item_rpc_marauder_gloves_amethyst1"									"Увеличивает Скорости Передвижения и Атаки на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_master_gloves"									"Master Gloves"

		"item_property_master_gloves"				"Master's Teachings"
		"property_master_gloves_description"		"Базовый Урон Способности @Ability4 увеличен на <% ITEM_RPC_MASTER_GLOVES_BAD %>%"

    	"item_rpc_master_gloves_ruby1"									"Увеличивает руну [R1] на @ruby_property1"
    	"item_rpc_master_gloves_emerald1"									"Увеличивает руну [R3] на @emerald_property1"
    	"item_rpc_master_gloves_sapphire1"									"Увеличивает руну [R2] на @sapphire_property1"
    	"item_rpc_master_gloves_amethyst1"									"Увеличивает руну [R4] на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_mordiggus_gauntlet"								"Mordiggus Gauntlet"

		"item_property_mordiggus"							"Blood Bane"
		"property_mordiggus_description"					"Отсутствующее Здоровье увеличивает Пробития Брони и Магической Защиты на <% ITEM_RPC_MORDIGGUS_GAUNTLET_PIERCE_PER_HP_MISSING %>. Любое прочтение заклинания тратит <% ITEM_RPC_MORDIGGUS_GAUNTLET_HP_DRAIN_PCT_ON_SPELL %>% максимального запаса Здоровья, каждая обычная атака тратит <% ITEM_RPC_MORDIGGUS_GAUNTLET_HP_DRAIN_PCT_ON_ATTACK %>% максимального запаса Здоровья. Этот урон по здоровью не может быть летальным."

    	"item_rpc_mordiggus_gauntlet_ruby1"								"Увеличивает Максимальное Здоровье на @ruby_property1"
    	"item_rpc_mordiggus_gauntlet_emerald1"								"Уменьшает затраты Здоровья у эффекта на @emerald_property1%"
    	"item_rpc_mordiggus_gauntlet_sapphire1"								"Восстанавливает Ману в эквиваленте @sapphire_property1% от затраченного эффектом Здоровья"
    	"item_rpc_mordiggus_gauntlet_amethyst1"								"Эффект перчаток не тратит Здоровье, если его показатель ниже чем @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_mountain_vambraces"								"Mountain Vambraces"

		"item_property_mountain_vambraces"			"Craggy Shock"
		"property_mountain_vambraces_description"	"Обычные атаки имеют <% ITEM_RPC_MOUNTAIN_VAMBRACES_CHANCE %>% шанс оглушить противников в области <% ITEM_RPC_MOUNTAIN_VAMBRACES_STUN_RADIUS %> вокруг основной цели атаки на <% ITEM_RPC_MOUNTAIN_VAMBRACES_STUN_DURATION %> сек, нанося <% ITEM_RPC_MOUNTAIN_VAMBRACES_DAMAGE_PER_STR %>x от Силы героя Физическим уроном."

		"item_rpc_mountain_vambraces_ruby1"									"Увеличивает Силу на @ruby_property1 и Урон Предметов на @ruby_property2%"
    	"item_rpc_mountain_vambraces_emerald1"								"Увеличивает урон эффекта на дополнительные @emerald_property1 и шанс срабатывания на @emerald_property2%"
    	"item_rpc_mountain_vambraces_sapphire1"								"Эффект перчаток гарантированно срабатывает по противникам, атакующим героя, каждые @sapphire_property1 для каждого отдельного противника"
    	"item_rpc_mountain_vambraces_amethyst1"								"Противники задетые [Q] с шансом @amethyst_property1% активируют эффект перчаток. Урон эффекта пассивно увеличен на @amethyst_property2x от Духа героя"

    	"DOTA_Tooltip_ability_item_rpc_phoenix_gloves"									"Phoenix Gloves"
		"item_property_phoenix_gloves"				"Perpetual Rebirth" 
		"property_phoenix_gloves_description"		"Герой получает <% ITEM_RPC_PHOENIX_GLOVES_HP_REGEN_PER_MISSING_HP %> регенерации Здоровья за каждое отсутствующее очко Здоровья."

    	"item_rpc_phoenix_gloves_ruby1"									"Увеличивает Скорость Атаки на @ruby_property1 и обычные атаки получают элемент <font color=\"#EF4126\">Огня</font>"
    	"item_rpc_phoenix_gloves_emerald1"									"Повышает Ловкость на @emerald_property1, а каждое очко Ловкости увеличивает Здоровье на @emerald_property2"
    	"item_rpc_phoenix_gloves_sapphire1"									"Базовый Урон Атаки увеличивается на @sapphire_property1 за каждое текущее очко Здоровья"
    	"item_rpc_phoenix_gloves_amethyst1"									"Повышает Дух на @amethyst_property1, а каждое очко Духа увеличивает Здоровье на @amethyst_property2"

    	"DOTA_Tooltip_ability_item_rpc_power_ranger_gloves"								"Power Source Gauntlet"
    	"item_rpc_power_ranger_gloves_ruby1"								"Увеличивает Броню на @ruby_property1"
    	"item_rpc_power_ranger_gloves_emerald1"								"Увеличивает Пробитие Брони на @emerald_property1"
    	"item_rpc_power_ranger_gloves_sapphire1"								"Увеличивает Пробитие Магической Защиты на @sapphire_property1"
    	"item_rpc_power_ranger_gloves_amethyst1"								"Увеличивает Магическую Защиту на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_royal_wristguards"								"Royal Wristguards"		
		"item_property_royal_wrist"								"Commanding Steel"
		"property_royal_wrist_description"						"При получении урона герой повышает Силу Атаку на <% ITEM_RPC_ROYAL_WRISTGUARDS_BONUS_DMG_PCT %>%, складывается до <% ITEM_RPC_ROYAL_WRISTGUARDS_CHARGE_CAP %> зарядов. Базовый Урон Способности @Ability1 увеличен на <% ITEM_RPC_ROYAL_WRISTGUARDS_Q_BAD %>% за заряд эффекта."

		"DOTA_Tooltip_modifier_royal_wristguards_stack_effect"	"Commanding Steel"
		"DOTA_Tooltip_modifier_royal_wristguards_stack_effect_Description" "Увеличивает Бонусную Силу Атаки и Урон [Q]."

    	"item_rpc_royal_wristguards_ruby1"								"Увеличивает максимум зарядов эффекта на @ruby_property1"
    	"item_rpc_royal_wristguards_emerald1"								"Прочтение [Q] отнимает только @emerald_property1% зарядов"
    	"item_rpc_royal_wristguards_sapphire1"								"Каждый заряд повышает Базовый Урон Атаки на @sapphire_property1, но обычные атаки отнимают по <% ITEM_RPC_ROYAL_WRISTGUARDS_SAPPHIRE_STACK_LOSS %> заряду"
    	"item_rpc_royal_wristguards_amethyst1"								"Каждый заряд повышает Урон Предметов на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_scarecrow_gloves"								"Scarecrow Gloves"

		"item_property_scarecrow"					"Replenishing Mind"
		"property_scarecrow_description"			"Интеллект увеличивает Регенерацию Маны дополнительно на <% ITEM_RPC_SCARECROW_GLOVES_MPREGEN_PER_INT %>."

    	"item_rpc_scarecrow_gloves_ruby1"								"Интеллект увеличивает Базовый Урон Способностей на @ruby_property1%"
    	"item_rpc_scarecrow_gloves_emerald1"								"Интеллект увеличивает Скорость Атаки на @emerald_property1"
    	"item_rpc_scarecrow_gloves_sapphire1"								"Интеллект повышен на @sapphire_property1. Интеллект увеличивает Пробитие Магической Защиты на @sapphire_property2"
    	"item_rpc_scarecrow_gloves_amethyst1"								"Текущая Мана увеличивает Базовый Урон Атаки на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_scorched_gauntlets"							"Gauntlet of the High Flame"
		"item_property_scorched_gauntlet"			"Scorched Earth"
		"property_scorched_gauntlet_description"	"Обычные атаки с шансом <% ITEM_RPC_SCORCHED_GAUNTLETS_CHANCE %>% подожгут землю под целью в области <% ITEM_RPC_SCORCHED_GAUNTLETS_FLAME_RADIUS %>, нанося урон стоящим в пламени противникам в <% ITEM_RPC_SCORCHED_GAUNTLETS_ATTACK_TO_DMG %>% от Силы Атаки героя."

    	"item_rpc_scorched_gauntlets_ruby1"							"Когда эффект срабатывает, противники дополнительно испускают огненный шар в случайном направлении. Огненный шар наносит @ruby_property1% от Силы Атаки героя при попадании в цель, оглушает цели на @ruby_property2 сек, а также создаёт дополнительную область горения."
    	"item_rpc_scorched_gauntlets_emerald1"							"Увеличивает Броню на @emerald_property1, а урон пламени по области увеличен на @emerald_property2x от показателя Брони героя"
    	"item_rpc_scorched_gauntlets_sapphire1"							"Шанс срабатывания повышается на @sapphire_property1%, а урон эффекта увеличен на @sapphire_property2"
    	"item_rpc_scorched_gauntlets_amethyst1"							"Базовый Урон Атаки увеличивается на @amethyst_property1. Атакующие героя противники с шансом @amethyst_property2% активируют эффект предмета."

    	"DOTA_Tooltip_ability_item_rpc_shadow_armlet"									"Shadow Armlet"

		"item_property_shadow_armlet"			"Shadow Step"
		"property_shadow_armlet_description"	"При получении урона с шансом <% ITEM_RPC_SHADOW_ARMLET_INVIS_CHANCE %>% Герой становится невидимым на <% ITEM_RPC_SHADOW_ARMLET_INVIS_DURATION %>. Обычная атака или прочтение заклинания прекращают невидимость."

    	"item_rpc_shadow_armlet_ruby1"									"@ruby_property1% при получении урона мгновенно исцелиться на такое же значение"
    	"item_rpc_shadow_armlet_emerald1"									"Увеличивает урон <font color=\"#7F4F84\">Тени</font> и Урон Предметов на @emerald_property1%"
    	"item_rpc_shadow_armlet_sapphire1"									"Вдобавок к невидимости увеличивает регенерацию Здоровья на @sapphire_property1% от максимального запаса Здоровья и увеличивает длительность невидимости на @sapphire_property2 сек"
    	"item_rpc_shadow_armlet_amethyst1"									"Повышает Пробития Брони и Магической Защиты на @amethyst_property1 во время невидимости от эффекта"

    	"DOTA_Tooltip_ability_item_rpc_shadowflame_fist"								"Shadowflame Fist"
		"item_property_shadowflame_fist"						"Shadowflame"
		"property_shadowflame_fist_description"					"Обычные атаки подожгут землю под целью на <% ITEM_RPC_SHADOWFLAME_FIST_ROOT_DURATION %> сек и обездвижат всех прикоснувшихся к пламени противников. Противники в пламени получают урон в <% ITEM_RPC_SHADOWFLAME_FIST_ATK_DMG_PCT %>% от Силы Атаки героя каждые <% ITEM_RPC_SHADOWFLAME_FIST_DMG_INTERVAL %> сек. Максимум <% ITEM_RPC_SHADOWFLAME_FIST_MAX_FLAMES %> очагов пламени одновременно."

    	"item_rpc_shadowflame_fist_ruby1"								"Базовый Урон Способностей и Урон Предметов увеличены на @ruby_property1% за каждый 1% отсутствующей Маны"
    	"item_rpc_shadowflame_fist_emerald1"								"Каждая единица отсутствующей Маны увеличивает Базовую Атаку героя на @emerald_property1"
    	"item_rpc_shadowflame_fist_sapphire1"								"Допустимый показатель Маны ограничен @sapphire_property1% от максимума, но Базовый Урон Способности [W] увеличен на @sapphire_property2%"
    	"item_rpc_shadowflame_fist_amethyst1"								"Количество одновременных очагов пламени увеличено на @amethyst_property1, а урон пламени увеличен на @amethyst_property2"

    	"DOTA_Tooltip_ability_item_rpc_silverspring_gloves"								"Silverspring Gloves"

		"item_property_silverspring_glove"			"Silverspring"
		"property_silverspring_description"			"Удваивает регенерацию Здоровья."

    	"item_rpc_silverspring_gloves_ruby1"								"Увеличивает регенерацию Здоровья на @ruby_property1x от Скорости Передвижения"
    	"item_rpc_silverspring_gloves_emerald1"								"Увеличивает регенерацию Здоровья на @emerald_property1x от Скорости Атаки"
    	"item_rpc_silverspring_gloves_sapphire1"								"Прочтение [W] создает лужицу воды радиусом <% ITEM_RPC_SILVERSPRING_GLOVES_SAPPHIRE_RADIUS %> и длительностью <% ITEM_RPC_SILVERSPRING_GLOVES_SAPPHIRE_DURATION %> сек, которая увеличивает регенерацию Здоровья всех союзных существ, стоящих в ней, на @sapphire_property1% от максимального запаса Здоровья. Только 1 лужица может существовать одновременно."
