
		"DOTA_Tooltip_ability_item_rpc_blacksmiths_tablet"								"铁匠牌匾"
		"item_rpc_cobalt_serenity_ring_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_cobalt_serenity_ring_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_cobalt_serenity_ring_amethyst1"							"blah blah @amethyst_property1 gem"
		"item_property_cobalt_serenity"						"宁静"
		 "property_cobalt_serenity_description"					"提高生命回复速度，提高值为 <% COBALT_SERENITY_INT_TO_HP_REGEN %>% x智力值。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_emerald_nullification_ring"						"翡翠净化环"
		"item_rpc_emerald_nullification_ring_ruby1"						"blah blah @ruby_property1 gem"
		"item_rpc_emerald_nullification_ring_emerald1"						"blah blah @emerald_property1 gem"
		"item_rpc_emerald_nullification_ring_sapphire1"						"blah blah @sapphire_property1 gem"
		"item_rpc_emerald_nullification_ring_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_emerald_null"							"翡翠淨化"
		 "property_emerald_null_description"					"减少受到的纯粹或魔法伤害，减少值为 <% EMERALD_NULLIFICATION_AGI_TO_PURE_MAGIC_DMG_BLOCK %>x 敏捷值。计算在魔法抗性之后，其他伤害减免之前。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_garnet_warfare_ring"								"战争戒指"
		"item_rpc_garnet_warfare_ring_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_garnet_warfare_ring_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_garnet_warfare_ring_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_garnet_warfare_ring_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_garnet_warfare"							"石榴战争"
		 "property_garnet_warfare_description"					"每<% GARNET_WARFARE_STR_DIVISOR %>点力量增加基础技能伤害 <% GARNET_WARFARE_STR_TO_BAD %>%。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_serengaard_sun_crystal"							"太阳宝石"
		"item_rpc_serengaard_sun_crystal_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_serengaard_sun_crystal_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_serengaard_sun_crystal_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_serengaard_sun_crystal_amethyst1"							"blah blah @amethyst_property1 gem"
		
		
		"DOTA_Tooltip_ability_item_rpc_wind_orchid"										"风兰花"
		"item_rpc_wind_orchid_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_wind_orchid_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_wind_orchid_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_wind_orchid_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_wind_orchid"							"风之花"
		 "property_wind_orchid_description"						"E4 每一点符文点数将提高 <% WIND_ORCHID_AGI_PER_E4 %> 点敏捷值。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_aqua_lily"										"水百合"
		"item_rpc_aqua_lily_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_aqua_lily_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_aqua_lily_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_aqua_lily_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_aqua_lily"							"水之花"
		 "property_aqua_lily_description"					"R4 每一点符文点数将提高 <% AQUA_LILY_INT_PER_R4 %> 点智力值。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_fire_blossom"									"火玫瑰"
		"item_rpc_fire_blossom_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_fire_blossom_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_fire_blossom_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_fire_blossom_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_fire_blossom"							"火之花"
		 "property_fire_blossom_description"					"W4 每一点符文点数将提高 <% FIRE_BLOSSOM_STR_PER_W4 %> 点力量值。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_ankh_of_the_ancients"							"远古护符"
		"item_rpc_ankh_of_the_ancients_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_ankh_of_the_ancients_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_ankh_of_the_ancients_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_ankh_of_the_ancients_amethyst1"							"blah blah @amethyst_property1 gem"
		"item_property_ankh_of_ancients"						"不朽之灵"
		 "property_ankh_of_ancients_description"				"当受到致命伤害时，获得一个护盾，护盾持续时间 <% ANKH_SHIELD_DURATION %> 秒。护盾将吸收 100% 的伤害，并且使拥有者免疫眩晕。冷却时间为<% ANKH_COOLDOWN %>倍护盾持续时间。"
		 "DOTA_Tooltip_modifier_ankh_of_ancients_shield"		"不朽之灵"
		 "DOTA_Tooltip_modifier_ankh_of_ancients_shield_Description"	"免疫伤害和眩晕"
		 "DOTA_Tooltip_modifier_ankh_of_ancients_cooldown"		"远古护符冷却中"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_aquastone_ring"									"波斯猫眼戒指"	
		"item_rpc_aquastone_ring_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_aquastone_ring_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_aquastone_ring_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_aquastone_ring_amethyst1"									"blah blah @amethyst_property1 gem"
		
		
		"DOTA_Tooltip_ability_item_rpc_world_trees_flower_cache"						"世界树之花的宝藏"
		"item_rpc_world_trees_flower_cache_ruby1"						"blah blah @ruby_property1 gem"
		"item_rpc_world_trees_flower_cache_emerald1"						"blah blah @emerald_property1 gem"
		"item_rpc_world_trees_flower_cache_sapphire1"						"blah blah @sapphire_property1 gem"
		"item_rpc_world_trees_flower_cache_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_world_trees_flower_cache"				"血之兰"
		"property_world_trees_flower_cache_description"			"受到致命伤害后 <% WORLD_TREES_CACHE_RESURRECTION_DELAY %>秒，将从世界树之花中满血重生。重生后获得buff，使所受到的伤害提高 <% WORLD_TREES_CACHE_POST_MITI %>%，同时也加深敌人所受到的伤害 <% WORLD_TREES_CACHE_DAMAGE_TAKEN_INC_PCT %>%。（计算在敌人减伤之后） 伤害加深buff持续时间<% WORLD_TREES_CACHE_BUFF_DURATION %>秒。物品技能冷却时间12秒。"
		"DOTA_Tooltip_modifier_world_tree_cache_cooldown"		"血之兰冷却中"
		"DOTA_Tooltip_modifier_world_tree_effect"				"血之兰"
		"DOTA_Tooltip_modifier_world_tree_effect_Description"	"受到的伤害提高 <% WORLD_TREES_CACHE_POST_MITI %>%% 同时加深敌人所受到的伤害 <% WORLD_TREES_CACHE_DAMAGE_TAKEN_INC_PCT %>%%（伤害加深计算在减伤之后）"
		
		
		"DOTA_Tooltip_ability_item_rpc_arcane_charm"									"奥术挂坠"
		"item_rpc_arcane_charm_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_arcane_charm_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_arcane_charm_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_arcane_charm_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_arcane_charm"					"奥法聚能环"
		"property_arcane_charm_description"				"提高奥术水晶拾取范围 <% ARCANE_CHARM_CRYSTAL_PICKUP_RADIUS_INC %>%，并且拾取奥术水晶会恢复一定的生命值和魔法值。根据拾取水晶的大小分别恢复 <% ARCANE_CHARM_CRYSTAL_HP_MANA_RESTORE_1 %>/<% ARCANE_CHARM_CRYSTAL_HP_MANA_RESTORE_2 %>/<% ARCANE_CHARM_CRYSTAL_HP_MANA_RESTORE_3 %>/<% ARCANE_CHARM_CRYSTAL_HP_MANA_RESTORE_4 %>% 的最大生命值和魔法值。（越大恢复越多）"
		
		
		"DOTA_Tooltip_ability_item_rpc_winterblight_skull_ring"							"霜枯骷髅戒"
		"item_rpc_winterblight_skull_ring_ruby1"							"blah blah @ruby_property1 gem"
		"item_rpc_winterblight_skull_ring_emerald1"							"blah blah @emerald_property1 gem"
		"item_rpc_winterblight_skull_ring_sapphire1"							"blah blah @sapphire_property1 gem"
		"item_rpc_winterblight_skull_ring_amethyst1"							"blah blah @amethyst_property1 gem"
		
		
		"DOTA_Tooltip_ability_item_rpc_sparkling_sea_crystal"					"深海珍珠"	
		"item_rpc_sparkling_sea_crystal_ruby1"					"blah blah @ruby_property1 gem"
		"item_rpc_sparkling_sea_crystal_emerald1"					"blah blah @emerald_property1 gem"
		"item_rpc_sparkling_sea_crystal_sapphire1"					"blah blah @sapphire_property1 gem"
		"item_rpc_sparkling_sea_crystal_amethyst1"					"blah blah @amethyst_property1 gem"
		"property_sea_crystal"												"深海巨兽"
		"property_sea_crystal_Description"									"施放 @Ability4 将召唤一个深海巨兽，深海巨兽攻击具有击退效果，攻击力为玩家攻击力的 @special_property1%。再次施放 @Ability4 将重置召唤物。"


		"DOTA_Tooltip_ability_item_rpc_sparkling_token_of_oceanis"					"海洋之心"	
		"item_rpc_sparkling_token_of_oceanis_ruby1"					"blah blah @ruby_property1 gem"
		"item_rpc_sparkling_token_of_oceanis_emerald1"					"blah blah @emerald_property1 gem"
		"item_rpc_sparkling_token_of_oceanis_sapphire1"					"blah blah @sapphire_property1 gem"
		"item_rpc_sparkling_token_of_oceanis_amethyst1"					"blah blah @amethyst_property1 gem"
		"property_sparkling_token"												"炽热雾霭"
		"property_sparkling_token_Description"									"受到的所有纯粹伤害减少 <% SPARKLING_TOKEN_PURE_DMG_REDUCTION %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_frozen_heart"				"阿祖赫仑的冰霜之心"
		"item_rpc_frozen_heart_ruby1"				"blah blah @ruby_property1 gem"
		"item_rpc_frozen_heart_emerald1"				"blah blah @emerald_property1 gem"
		"item_rpc_frozen_heart_sapphire1"				"blah blah @sapphire_property1 gem"
		"item_rpc_frozen_heart_amethyst1"				"blah blah @amethyst_property1 gem"
		"item_property_frozen_heart"								"冰血寒髓"	
		"property_frozen_heart_description"					"最大生命值被设定为<% FROZEN_HEART_NEW_HP_CAP %>，无法被治疗。每次受到的物理/魔法/纯粹伤害对英雄造成<% FROZEN_HEART_DAMAGE_PER_PHYS %> / <% FROZEN_HEART_DAMAGE_PER_MAGICAL %> / <% FROZEN_HEART_DAMAGE_PER_PURE %>点伤害。在没有受到伤害的<% FROZEN_HEART_HP_REGEN_DELAY %>秒后，每<% FROZEN_HEART_HP_REGEN_INTERVAL %>秒恢复<% FROZEN_HEART_HP_REGEN %>点生命值。"
		"DOTA_Tooltip_modifier_frozen_heart_regen_prep"		"冰血冷却"
		"DOTA_Tooltip_modifier_frozen_heart_regen"			"冰血回复"
		
		
		"DOTA_Tooltip_ability_item_rpc_stargazers_sphere"			"观星者的法球"
		"item_rpc_stargazers_sphere_ruby1"			"blah blah @ruby_property1 gem"
		"item_rpc_stargazers_sphere_emerald1"			"blah blah @emerald_property1 gem"
		"item_rpc_stargazers_sphere_sapphire1"			"blah blah @sapphire_property1 gem"
		"item_rpc_stargazers_sphere_amethyst1"			"blah blah @amethyst_property1 gem"
		"item_property_stargazer"									"观星者之眼"
		"property_stargazer_description"							"对任意地点发出攻击移动命令能创建一个有视野的观星者领域。领域拥有该物品增大视野属性范围的顺畅视野。在领域内部受到伤害的敌人将被一颗流星击中，造成等于在该领域持续时间内对敌人造成的最高伤害<% STARGAZERS_SPHERE_STARFALL_DMG_AMP * 100 %>% 的纯粹伤害（不包括观星本身）。通过其他途径（元素和装备伤害等）提高的流星伤害不能超过触发流星的伤害的<% STARGAZERS_SPHERE_MAX_PREMIT_DAMAGE_AMP%>x 。流星伤害对坚定能提高其 <% STARGAZERS_SPHERE_STEADFAST_THRESHOLD %>x 阈值 (<% STARGAZERS_SPHERE_MEGASTEADFAST_THRESHOLD %>x 对高级坚定). 敌人每 <% STARGAZERS_SPHERE_STARFALL_CD %> 秒最多被流星打击一次.对领域发出攻击移动命令能使其立即崩溃，形成一颗陨石落下对范围内敌人造成<% STARGAZERS_SPHERE_DAMAGE_PER_ATT %>x 你的攻击力的伤害并眩晕敌人<% STARGAZERS_SPHERE_METEOR_STUN_DUR %>秒。观星者领域的创建有<% STARGAZERS_SPHERE_COOLDOWN %> 秒内置cd。"
		"DOTA_Tooltip_modifier_in_stargazer_area"					"观星者的法球"
		"DOTA_Tooltip_modifier_in_stargazer_area_Description"		"受到伤害时将被流星打击"
		
		
		"DOTA_Tooltip_ability_item_rpc_red_divinex_amulet"			"红色占卜神符"
		"item_rpc_red_divinex_amulet_ruby1"			"blah blah @ruby_property1 gem"
		"item_rpc_red_divinex_amulet_emerald1"			"blah blah @emerald_property1 gem"
		"item_rpc_red_divinex_amulet_sapphire1"			"blah blah @sapphire_property1 gem"
		"item_rpc_red_divinex_amulet_amethyst1"			"blah blah @amethyst_property1 gem"
		"item_property_red_divinex"									"我渴望力量！"
		"property_red_divinex_description"							"敏捷和智力上限被限定为20。力量翻倍。每<% RED_DIVINEX_STR_DIVISOR %>点力量提高装备伤害 <% RED_DIVINEX_STR_TO_ITEM_DMG %>%."

		
		"DOTA_Tooltip_ability_item_rpc_green_divinex_amulet"			"绿色占卜神符"
		"item_rpc_green_divinex_amulet_ruby1"			"blah blah @ruby_property1 gem"
		"item_rpc_green_divinex_amulet_emerald1"			"blah blah @emerald_property1 gem"
		"item_rpc_green_divinex_amulet_sapphire1"			"blah blah @sapphire_property1 gem"
		"item_rpc_green_divinex_amulet_amethyst1"			"blah blah @amethyst_property1 gem"
		"item_property_green_divinex"									"超强敏捷"
		"property_green_divinex_description"							"力量和智力上限被限定为20。敏捷翻倍。每<% GREEN_DIVINEX_AGI_DIVISOR %>点敏捷提高装备伤害 <% GREEN_DIVINEX_STR_TO_ITEM_DMG %>%."

		
		"DOTA_Tooltip_ability_item_rpc_blue_divinex_amulet"			"蓝色占卜神符"
		"item_rpc_blue_divinex_amulet_ruby1"			"blah blah @ruby_property1 gem"
		"item_rpc_blue_divinex_amulet_emerald1"			"blah blah @emerald_property1 gem"
		"item_rpc_blue_divinex_amulet_sapphire1"			"blah blah @sapphire_property1 gem"
		"item_rpc_blue_divinex_amulet_amethyst1"			"blah blah @amethyst_property1 gem"
		"item_property_blue_divinex"									"超强智力"
		"property_blue_divinex_description"							"力量和敏捷上限被限定为20。智力翻倍。每<% BLUE_DIVINEX_INT_DIVISOR %>点智力提高装备伤害 <% BLUE_DIVINEX_STR_TO_ITEM_DMG %>%."
		
		"DOTA_Tooltip_ability_item_rpc_puzzlers_locket"				"解谜者吊坠"
		"item_rpc_puzzlers_locket_ruby1"				"blah blah @ruby_property1 gem"
		"item_rpc_puzzlers_locket_emerald1"				"blah blah @emerald_property1 gem"
		"item_rpc_puzzlers_locket_sapphire1"				"blah blah @sapphire_property1 gem"
		"item_rpc_puzzlers_locket_amethyst1"				"blah blah @amethyst_property1 gem"
		"item_property_puzzler"										"重组"
		"property_puzzler_description"						 "装备上的T2 符文数和 T3符文数互换。"
		
		"DOTA_Tooltip_ability_item_rpc_galvanized_razor_band"			"旋转剃刀系带"
		"item_rpc_galvanized_razor_band_ruby1"			"blah blah @ruby_property1 gem"
		"item_rpc_galvanized_razor_band_emerald1"			"blah blah @emerald_property1 gem"
		"item_rpc_galvanized_razor_band_sapphire1"			"blah blah @sapphire_property1 gem"
		"item_rpc_galvanized_razor_band_amethyst1"			"blah blah @amethyst_property1 gem"
		"item_property_razor_band"										"旋转之刃"
		"property_razor_band_description"								"承受敌人一次伤害后，你将会对自己造成一次 <% RAZOR_BAND_MAX_HEALTH_DAMAGE %>% 最大生命值的伤害并且施加一个效果。每层效果将会增加 <% RAZOR_BAND_ATTACK_POWER_PER_STACK %>% 倍攻击力和 <% RAZOR_BAND_POST_MITIGATION_PER_STACK %>% 税后伤害。每0.3秒对附近的敌人造成一次 <% RAZOR_BAND_DAMAGE_PCT_OF_ATTACK_POWER %>% 攻击力的伤害。每层效果都有独立的<% RAZOR_BAND_STACK_DURATION %> 秒持续时间，并且最大层数不能超过<% RAZOR_BAND_MAX_STACKS %>层。"

		"DOTA_Tooltip_modfier_razor_band_stacks"					"旋转之刃"
		"DOTA_Tooltip_modfier_razor_band_stacks_Description"		"增加攻击力和税后伤害并且每0.3秒对周围的敌人造成一次伤害。"

		"DOTA_Tooltip_ability_item_rpc_guardian_stone"					"卫士之石"
		"item_rpc_guardian_stone_ruby1"					"blah blah @ruby_property1 gem"
		"item_rpc_guardian_stone_emerald1"					"blah blah @emerald_property1 gem"
		"item_rpc_guardian_stone_sapphire1"					"blah blah @sapphire_property1 gem"
		"item_rpc_guardian_stone_amethyst1"					"blah blah @amethyst_property1 gem"
		"property_guardian_stone"										"白银之心"
		"property_guardian_stone_description"								"敌人对你施加的Debuffs的持续时间将会被降低 <% GUARDIAN_STONE_DEBUFF_REDUCTION_PCT %>% 。当一个debuff的持续时间被降低后，你将会被治疗一次，治疗量为<% GUARDIAN_STONE_HEAL_PCT %>% 最大生命值。"

		"DOTA_Tooltip_ability_item_rpc_beryl_ring_of_intuition" 	"直觉翡翠之戒"
		"item_rpc_beryl_ring_of_intuition_ruby1" 	"blah blah @ruby_property1 gem"
		"item_rpc_beryl_ring_of_intuition_emerald1" 	"blah blah @emerald_property1 gem"
		"item_rpc_beryl_ring_of_intuition_sapphire1" 	"blah blah @sapphire_property1 gem"
		"item_rpc_beryl_ring_of_intuition_amethyst1" 	"blah blah @amethyst_property1 gem"
		"item_property_beryl_ring_of_intuition"						"直觉"
		"property_beryl_ring_of_intuition_description"				"在释放完所有技能后，你的生命值和魔法值以及技能的冷却时间都会被重置。如果 @Ability4的冷却时间大于 <% INTUITION_ULTIMATE_MIN_CD %>秒时，这个效果将会只是降低它的冷却时间到<% INTUITION_ULTIMATE_MIN_CD %> 秒。"

		"DOTA_Tooltip_ability_item_rpc_auric_ring_of_inspiration" 	"灵感鎏金之戒"
		"item_rpc_auric_ring_of_inspiration_ruby1" 	"blah blah @ruby_property1 gem"
		"item_rpc_auric_ring_of_inspiration_emerald1" 	"blah blah @emerald_property1 gem"
		"item_rpc_auric_ring_of_inspiration_sapphire1" 	"blah blah @sapphire_property1 gem"
		"item_rpc_auric_ring_of_inspiration_amethyst1" 	"blah blah @amethyst_property1 gem"
		"item_property_auric_ring_of_inspiration"						"振奋"
		"property_auric_ring_of_inspiration_description"				"在释放完所有技能后，你的生命值将会被重置，并且获得<% INSPIRATION_MAGIC_IMMUNITY_TIME %> 秒的魔法免疫"

		"DOTA_Tooltip_modifier_auric_ring_bkb"						"灵感"
"DOTA_Tooltip_modifier_auric_ring_bkb_Description" "魔法免疫"

