		"DOTA_Tooltip_ability_item_rpc_hurricane_vest"									"飓风背心"
		"item_rpc_hermits_spike_shell_ruby1"								"@ruby_property1% 最大生命值加入到针刺扫射伤害中"
		"item_rpc_hermits_spike_shell_emerald1"								"触发针刺扫射时将会回复@emerald_property1% 最大生命值"
		"item_rpc_hermits_spike_shell_sapphire1"								"每 1% 丢失生命值增加物理穿透@sapphire_property1点"
		"item_rpc_hermits_spike_shell_amethyst1"								"针刺扫射降低敌人的护甲 @amethyst_property1，持续 <% ITEM_RPC_HERMITS_SPIKE_SHELL_AMETHYST_DURATION %> 秒，最多叠加 <% ITEM_RPC_HERMITS_SPIKE_SHELL_AMETHYST_MAX_STACKS %> 次"
		
		"DOTA_Tooltip_ability_item_rpc_the_infernal_prison"								"地狱牢笼"
		"item_rpc_the_infernal_prison_ruby1"								"攻击你的敌人将会被额外施加一层自焚，持续 @ruby_property1 秒"
		"item_rpc_the_infernal_prison_emerald1"								"自焚将会降低敌人的攻击速度 @emerald_property1点"
		"item_rpc_the_infernal_prison_sapphire1"								"增加护甲和魔甲 @sapphire_property1点"
		"item_rpc_the_infernal_prison_amethyst1"								"增加自焚伤害 @amethyst_property1"
		"item_property_infernal_prison"				"自焚"
		"property_infernal_prison_description"		"附近260范围内的敌人每0.5秒受到一次15%你的攻击力的魔法伤害。"
		
		
		"DOTA_Tooltip_ability_item_rpc_enchanted_solar_cape"							"魔日披肩"
		"item_property_enchanted_solar_cape"				"耀斑"
		"property_enchanted_solar_cape_description"		"每 <% ITEM_RPC_ENCHANTED_SOLAR_CAPE_INTERVAL %> 秒获得一层日光，到达 <% ITEM_RPC_ENCHANTED_SOLAR_CAPE_STACKS %> 层后获得耀斑效果，持续  <% ITEM_RPC_ENCHANTED_SOLAR_CAPE_SOLAR_FLARE_DURATION %> 秒，处于耀斑状态下时，你的所有技能的冷却时间将会降低  <% ITEM_RPC_ENCHANTED_SOLAR_CAPE_COOLDOWN_PCT * 100 %> %并且施法速度将会提高 <% ITEM_RPC_ENCHANTED_SOLAR_CAPE_CAST_RATE %>%。处于耀斑状态下时不能获得日光层数。"
		"item_rpc_enchanted_solar_cape_ability_ruby_tooltip"				"Grants @ruby_property1 Sunlight Stacks while Solar Flare is inactive."
		"DOTA_Tooltip_modifier_enchanted_solar_cape_buff"				"耀斑"
		"DOTA_Tooltip_modifier_enchanted_solar_cape_buff_Description"	"降低冷却时间<% ITEM_RPC_ENCHANTED_SOLAR_CAPE_COOLDOWN_PCT * 100 %>%%并且提高施法速度<% ITEM_RPC_ENCHANTED_SOLAR_CAPE_CAST_RATE %>%% "
		"DOTA_Tooltip_modifier_enchanted_solar_cape_stacks"			"日光"

		"item_rpc_enchanted_solar_cape_ruby1"							"在非耀斑状态下释放 [R]将会获得  @ruby_property1层日光层数 "
		"item_rpc_enchanted_solar_cape_emerald1"							"降低触发耀斑所需的日光层数@emerald_property1"
		"item_rpc_enchanted_solar_cape_sapphire1"							"处于耀斑状态下时将会获得@sapphire_property1%基础技能伤害和物品伤害"
		"item_rpc_enchanted_solar_cape_amethyst1"							"处于耀斑状态下时增加魔法穿透和魔甲@amethyst_property1 点"
		
		
		"DOTA_Tooltip_ability_item_rpc_ocean_tempest_pallium"							"海洋风暴披肩"
		"item_property_ocean_tempest"				"潮汐风暴"
		"property_ocean_tempest_description"		"当你释放@Ability4 时，每秒汲取 <% ITEM_RPC_OCEAN_TEMPEST_PALLIUM_MANA_DRAIN_OF_MAX %>%最大魔法值直至施法结束每<% ITEM_RPC_OCEAN_TEMPEST_PALLIUM_DIVISOR %> 点汲取的魔法值增加一层潮汐风暴充能，每层充能增加基础技能伤害和物品伤害<% ITEM_RPC_OCEAN_TEMPEST_PALLIUM_BAD_PER_TIDE_STACK %>%。潮汐风暴充能持续 <% ITEM_RPC_OCEAN_TEMPEST_PALLIUM_TIDAL_STORM_STACK_DURATION %> 秒，并且再次释放 @Ability4 将会清零。"
		"item_rpc_ocean_tempest_pallium_ruby1"							"每层潮汐充能提供@ruby_property1% 攻击力"
		"item_rpc_ocean_tempest_pallium_emerald1"							"在[R]释放过程中，周围<% ITEM_RPC_OCEAN_TEMPEST_PALLIUM_EMERALD_RADIUS %> 范围内的敌人每0.1秒有@emerald_property1%概率被投向暴风中，直至你施法结束。处于暴风中的敌人无法行动并且免疫伤害。当敌人落地时 ，他们将会受到@emerald_property2x潮汐风暴层数的伤害。"
		"item_rpc_ocean_tempest_pallium_sapphire1"							"增加水和风元素伤害@sapphire_property1%"
		"item_rpc_ocean_tempest_pallium_amethyst1"							"增加魔法值汲取量 @amethyst_property1%"	

		"DOTA_Tooltip_modifier_ocean_templest_tidal_storm_stacks"			"潮汐风暴充能"
		
		
		"DOTA_Tooltip_ability_item_rpc_radiant_ruins_leather"							"天辉皮甲"
		"item_rpc_radiant_ruins_leather_ruby1"							"耐久光环提供 @ruby_property1 点物理穿透"
		"item_rpc_radiant_ruins_leather_emerald1"							"耐久光环提供@emerald_property1 点敏捷"
		"item_rpc_radiant_ruins_leather_sapphire1"							"增加耐久光环对装备者的效果@sapphire_property1%"
		"item_rpc_radiant_ruins_leather_amethyst1"							"耐久光环提供@amethyst_property1 点魔甲"
		"item_property_radiant_ruins"				"耐久光环"
		"property_radiant_ruins_description"		"提高你及附近所有友军的攻击速度<% ITEM_RPC_RADIANT_RUINS_LEATHER_AS %>点和移动速度<% ITEM_RPC_RADIANT_RUINS_LEATHER_MS %>点。"
		"DOTA_Tooltip_modifier_radiant_leather_aura_buff" "耐久光环"
		"DOTA_Tooltip_modifier_radiant_leather_aura_buff_Description"	"攻击速度提高"
		
		
		"DOTA_Tooltip_ability_item_rpc_twilight_vestments"								"暮光大衣"
		"item_rpc_twilight_vestments_ruby1"									"降低触发该效果的阈值至@ruby_property1% 最大生命值"
		"item_rpc_twilight_vestments_emerald1"								"增加该效果的治疗量 @emerald_property1% "
		"item_rpc_twilight_vestments_sapphire1"								"受到纯粹伤害时将会额外回复@sapphire_property1%该次伤害的生命值"
		"item_rpc_twilight_vestments_amethyst1"								"增加精神@amethyst_property1点"
		"item_property_twilight_vestments"			"金鳞开"
		"property_twilight_vestments_description"	"当某个单次伤害超过你最大生命值的<% ITEM_RPC_TWILIGHT_VESTMENTS_HP_THRESHOLD %>% 时，<% ITEM_RPC_TWILIGHT_VESTMENTS_DELAY %>秒后你将回复一定量生命值，回复量为该次伤害值的<% ITEM_RPC_TWILIGHT_VESTMENTS_HEAL_PCT %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_energizing_quest_gear"							"夜行衣"
		"item_rpc_energizing_quest_gear_ruby1"							"无效果"
		"item_rpc_energizing_quest_gear_emerald1"							"无效果"
		"item_rpc_energizing_quest_gear_sapphire1"							"无效果"
		"item_rpc_energizing_quest_gear_amethyst1"							"无效果"
		
		
		"DOTA_Tooltip_ability_item_rpc_windsteel_armor"									"猎风铠甲"
		"item_property_windsteel_armor"				"狂风守护"
		"property_windsteel_armor_description"		"释放@Ability2 将会获得护盾，护盾将会吸收伤害，层数与该技能的等级相等。当护盾存在时，获得<% ITEM_RPC_WINDSTEEL_ARMOR_EVASION %>% 闪避。持续 <% ITEM_RPC_WINDSTEEL_ARMOR_DURATION %> 秒。 <% ITEM_RPC_WINDSTEEL_ARMOR_COOLDOWN %> 秒冷却时间"
		"DOTA_Tooltip_modifier_windsteel_effect"	"狂风守护"
		"DOTA_Tooltip_modifier_windsteel_effect_Description"	"每层护盾吸收一次伤害并且获得 <% ITEM_RPC_WINDSTEEL_ARMOR_EVASION %>%% 闪避"
		"DOTA_Tooltip_modifier_windsteel_cooldown"	"狂风守护冷却时间"

		
		"item_rpc_windsteel_armor_ruby1"									"增加狂风守护的层数 @ruby_property1"
		"item_rpc_windsteel_armor_emerald1"									"当护盾存在时，获得 @emerald_property1点敏捷 "
		"item_rpc_windsteel_armor_sapphire1"									"降低狂风守护的冷却时间@sapphire_property1 秒"
		"item_rpc_windsteel_armor_amethyst1"									"当狂风守护持续时间结束或者被摧毁时将会放出一阵狂风，将 <% ITEM_RPC_WINDSTEEL_ARMOR_AMETHYST_RADIUS %>范围内的敌人抛向空中，使他们无法行动，持续  @amethyst_property1 秒。处于该效果下的敌人免疫普通攻击和技能"
		
		
		"DOTA_Tooltip_ability_item_rpc_savage_plate_of_ogthun"							"野性板甲"
		"item_rpc_savage_plate_of_ogthun_ruby1"							"有@ruby_property1% 在受到攻击时立刻反击(只能反击自身攻击距离内的目标)"	
		"item_rpc_savage_plate_of_ogthun_emerald1"							"当自身血量百分比低于<% ITEM_RPC_SAVAGE_PLATE_OF_OGTHUN_RUBY_THRESHOLD %>%时获得@emerald_property1% 伤害减免"		
		"item_rpc_savage_plate_of_ogthun_sapphire1"							"普通攻击将会获得 @sapphire_property1% 攻击力加成以及@sapphire_property2 物理穿透，持续<% ITEM_RPC_SAVAGE_PLATE_OF_OGTHUN_SAPPHIRE_DURATION %> 秒。"
		"item_rpc_savage_plate_of_ogthun_amethyst1"							"增加<font color=\"<% RPC_ELEMENT_NORMAL_COLOR %>\">普通</font> 伤害@amethyst_property1%"
		"item_property_ogthun"						"野性"
		"property_ogthun_description"				"杀死敌人将会回复<% ITEM_RPC_SAVAGE_PLATE_OF_OGTHUN_HEALTH_RESTORE_PCT %>%的最大生命值。"
		"DOTA_Tooltip_modifier_ogthun_visible" 				"野性"
		"DOTA_Tooltip_modifier_ogthun_visible_Description"	"提高最大生命值和基础技能伤害"	
		"DOTA_Tooltip_modifier_ogthun_sapphire_buff" 				"野性 (蓝宝石)"
		"DOTA_Tooltip_modifier_ogthun_sapphire_buff_Description"	"提高攻击力和物理穿透"
		
		
		"DOTA_Tooltip_ability_item_rpc_skyforge_flurry_plate"							"天铸迷乱板甲"
		"item_property_skyforge"							"迷乱之盾"
		"DOTA_Tooltip_modifier_flurry_aura_debuff"				"迷乱光环"
		"DOTA_Tooltip_modifier_flurry_aura_debuff_Description"	"降低护物理穿透和魔法穿透"
		"property_skyforge_description"						"每 <% ITEM_RPC_SKYFORGE_FLURRY_PLATE_SHIELD_INTERVAL %> 秒获得一层盾，这层盾将会吸收下一次受到的伤害。"

		"DOTA_Tooltip_modifier_skyforge_flurry_shield"			"迷乱之盾"
		"DOTA_Tooltip_modifier_skyforge_flurry_shield_Description"	"吸收下一次受到的伤害"
		
		"item_rpc_skyforge_flurry_plate_ruby1"							"有@ruby_property1%使得迷乱之盾在格挡伤害后仍然存在"
		"item_rpc_skyforge_flurry_plate_emerald1"							"获得数值为 @emerald_property1% 力量值的敏捷值"
		"item_rpc_skyforge_flurry_plate_sapphire1"							"降低周围<% ITEM_RPC_SKYFORGE_FLURRY_PLATE_SAPPHIRE_RADIUS %> 范围内的敌人的物理穿透和魔法穿透 @sapphire_property1点"
		"item_rpc_skyforge_flurry_plate_amethyst1"							"每点精神增加移动速度和攻击速度 @amethyst_property1点"
		
		
		"DOTA_Tooltip_ability_item_rpc_bladestorm_vest"									"剑刃风暴背心"
		"item_property_bladestorm_vest"							"剑刃风暴"
		"property_bladestorm_vest_description"					"普通攻击<% ITEM_RPC_BLADESTORM_VEST_NUMBER_OF_ATTACKS %> 次后获得一层剑刃风暴充能。每层剑刃风暴充能增加基础攻击力<% ITEM_RPC_BLADESTORM_VEST_BONUS_ATTACK_DMG %>%点。释放技能就会消耗一层剑刃风暴充能。最高 <% ITEM_RPC_BLADESTORM_VEST_MAX_STACKS %> 层。"
		"DOTA_Tooltip_modifier_bladestorm_vest_buff"			"剑刃风暴"
		"DOTA_Tooltip_modifier_bladestorm_vest_buff_Description"	"获得基础攻击力"
		"DOTA_Tooltip_modifier_bladestorm_attack_stacking"		"剑刃风暴"
		
		"item_rpc_bladestorm_vest_ruby1"									"现在只需要攻击 @ruby_property1次就能获得一层剑刃风暴充能"
		"item_rpc_bladestorm_vest_emerald1"									"每层剑刃风暴充能增加基础技能伤害@emerald_property1% 以及物理穿透 @emerald_property2点"
		"item_rpc_bladestorm_vest_sapphire1"									"每层剑刃风暴增加@sapphire_property1点魔法穿透以及 @sapphire_property2点敏捷"
		"item_rpc_bladestorm_vest_amethyst1"									"有@amethyst_property1% 概率使得施法不会丢失剑刃风暴充能"
		
		
		"DOTA_Tooltip_ability_item_rpc_infused_mageplate"								"法师装甲"
		"item_rpc_infused_mageplate_ruby1"								"每点力量增加魔甲 @ruby_property1点"
		"item_rpc_infused_mageplate_emerald1"								"每 <% ITEM_RPC_INFUSED_MAGEPLATE_EMERALD_SHIELD_INTERVAL %> 秒获得一层盾，吸收一次伤害，最多 @emerald_property1 层"
		"item_rpc_infused_mageplate_sapphire1"								"每点智力增加魔甲 @sapphire_property1点"
		"item_rpc_infused_mageplate_amethyst1"								"增加力量和智力@amethyst_property1"
		"item_property_mageplate"								"装甲法师"
		"property_mageplate_description"						"每点智力值提高<% ITEM_RPC_INFUSED_MAGEPLATE_ARMOR_PER_INT %>点护甲值。受到伤害回复<% ITEM_RPC_INFUSED_MAGEPLATE_MANA_RESTORE_PCT %>%最大魔法值。"
		"DOTA_Tooltip_modifier_infused_mageplate_stack"			"装甲法师"
		"DOTA_Tooltip_modifier_infused_mageplate_stack_Description"	"受到伤害时提高基础技能伤害和智力值"
		
		
		"DOTA_Tooltip_ability_item_rpc_depth_crest_armor"								"绝顶披风"
		"item_property_depth_crest"						"粉碎"
		 "property_depth_crest_description"					"被攻击有<% ITEM_RPC_DEPTH_CREST_ARMOR_CHANCE %>% 概率附近<% ITEM_RPC_DEPTH_CREST_ARMOR_STUN_RADIUS %> 范围内的所有敌人<% ITEM_RPC_DEPTH_CREST_ARMOR_STUN_DURATION %> 秒，并且造成 <% ITEM_RPC_DEPTH_CREST_ARMOR_ARMOR_TO_DMG %>x 你的护甲值的伤害。"

		 "item_rpc_depth_crest_armor_ruby1"								" @ruby_property1x 力量值加入到粉碎的伤害中并且增加粉碎的范围@ruby_property2"
		"item_rpc_depth_crest_armor_emerald1"								"增加粉碎的持续时间 @emerald_property1 秒并且增加粉碎的范围 @emerald_property2"
		"item_rpc_depth_crest_armor_sapphire1"								"释放[Q]有@sapphire_property1% 概率触发粉碎。"
		"item_rpc_depth_crest_armor_amethyst1"								"增加物品伤害 @amethyst_property1%"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_terrasic_stone_plate"							"熔岩板甲"
		"item_property_terrasic_stone"						"岩浆喷涌"
		 "property_terrasic_stone_description"				"每 <% ITEM_RPC_TERRASIC_STONE_PLATE_STACK_INTERVAL %> 秒获得一层岩浆喷涌充能。每层充能移除 @Ability1的冷却时间，最多 <% ITEM_RPC_TERRASIC_STONE_PLATE_MAX_STACKS %> 层。"

		"DOTA_Tooltip_modifier_terrasic_magma_break_stacks"	"Magma Break"
		"DOTA_Tooltip_modifier_terrasic_magma_break_stacks_Description"	"移除 [Q]的冷却时间，释放 [Q] 将会移除一层充能 "

		"item_rpc_terrasic_stone_plate_ruby1"							"增加@ruby_property1点, 护甲和物理穿透 @ruby_property2点并且增加所有 <font color=\"#EF4126\">火</font> 和<font color=\"#AF843D\">土</font> 元素伤害 @ruby_property3%"
		"item_rpc_terrasic_stone_plate_emerald1"							"降低获得充能的间隔 @emerald_property1"
		"item_rpc_terrasic_stone_plate_sapphire1"							"增加 [Q] 的基础技能伤害 @sapphire_property1%"
		"item_rpc_terrasic_stone_plate_amethyst1"							"增加岩浆喷涌的最大层数@amethyst_property1"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_water_mage_robes"								"水法师长袍"
		"item_property_watermage"							"高压水泵"
		"property_watermage_description"					"释放@Ability4时将会周围放出巨大的浪潮，造成  <% ITEM_RPC_WATER_MAGE_ROBES_INT_TO_DMG %>x 你的智力值的魔法伤害。被击中的敌人的移动速度将会降低 <% ITEM_RPC_WATER_MAGE_ROBES_MS_SLOW %>%."
		"DOTA_Tooltip_modifier_water_mage_slow"			"波浪减速"
		"DOTA_Tooltip_modifier_water_mage_slow_Description"	"攻击速度被降低"

		"item_rpc_water_mage_robes_ruby1"								"被击中的敌人的魔甲将会降低 @ruby_property1 点"
		"item_rpc_water_mage_robes_emerald1"								"增加波浪的伤害 @emerald_property1 和穿行速度 @emerald_property2"
		"item_rpc_water_mage_robes_sapphire1"								"增加所有 <font color=\"#3894FF\">水</font>元素伤害 @sapphire_property1% 以及魔法穿透 @sapphire_property2点"
		"item_rpc_water_mage_robes_amethyst1"								"释放 [W] 有 @amethyst_property1% 概率向前方发出一道波浪"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_golden_war_plate"								"黄金战甲"
		"item_property_gold_war_plate"						"英雄气概"
		"property_gold_war_plate_description"				"获得数值为<% ITEM_RPC_GOLDEN_WAR_PLATE_ARMOR_TO_ARMOR_PIERCE %>% 你的护甲值的物理穿透"

		"item_rpc_golden_war_plate_ruby1"								"增加力量@ruby_property1点"
		"item_rpc_golden_war_plate_emerald1"								"增加护甲 @emerald_property1点"
		"item_rpc_golden_war_plate_sapphire1"								"增加物理穿透 @sapphire_property1% of Armor点"
		"item_rpc_golden_war_plate_amethyst1"								"降低魔法穿透，增加物理穿透@amethyst_property1"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_gold_plate_of_leon"								"里昂的金色板甲"
		"item_rpc_gold_plate_of_leon_ruby1"								"你的主属性将会被设定为力量。增加力量值@ruby_property1。"
		"item_rpc_gold_plate_of_leon_emerald1"								"增加全属性 @emerald_property1"
		"item_rpc_gold_plate_of_leon_sapphire1"								"每点主属性提供 @sapphire_property1点攻击力 "
		"item_rpc_gold_plate_of_leon_amethyst1"								"增加你的主属性 @amethyst_property1%"
		"item_property_gold_plate_of_leon"						"无畏英雄"
		"property_gold_plate_of_leon_description"				"提高你的主属性<% ITEM_RPC_GOLD_PLATE_OF_LEON_PRIMARY_ATTRIBUTE_INCREASE %>%。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_staggering_knight_crusher_armor"					"骑士破坏之甲"
		"item_rpc_staggering_knight_crusher_armor_ruby1"					"眩晕敌人后将会降低他们的护甲@ruby_property1点，持续时间和眩晕持续时间相同。 "
		"item_rpc_staggering_knight_crusher_armor_emerald1"					"眩晕敌人后，你将会获得@emerald_property1 点护甲穿透，持续时间和眩晕时间相同"
		"item_rpc_staggering_knight_crusher_armor_sapphire1"					"攻击你的敌人有 <% ITEM_RPC_STAGGERING_KNIGHT_CRUSHER_ARMOR_SAPPHIRE_CHANCE %>% 概率被眩晕@sapphire_property1 秒。被动增加护甲 @sapphire_property2点"
		"item_rpc_staggering_knight_crusher_armor_amethyst1"					"周围<% ITEM_RPC_STAGGERING_KNIGHT_CRUSHER_ARMOR_AMETHYST_RADIUS %> 范围内的敌人在释放技能后将会被眩晕 @amethyst_property1 秒"
		"item_property_knight_crusher"						"过载力量"
		"property_knight_crusher_description"				"增加所有眩晕技能的眩晕时间 <% ITEM_RPC_STAGGERING_KNIGHT_CRUSHER_ARMOR_STUN_DURATION_INCREASE %>%，当玩家受到多次连续眩晕时，所受到的眩晕时间减少<% ITEM_RPC_STAGGERING_KNIGHT_CRUSHER_ARMOR_STUN_IMMUNITY_COUNTER_DECREASE %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_sapphire_dragon_scale_armor"						"蓝宝石龙鳞铠甲"
		"item_rpc_sapphire_dragon_scale_armor_ruby1"						"每点智力增加护甲@ruby_property1点"
		"item_rpc_sapphire_dragon_scale_armor_emerald1"						"每点智力增加物理穿透 @ruby_property1点"
		"item_rpc_sapphire_dragon_scale_armor_sapphire1"						"每点智力增加基础攻击力 @sapphire_property1点"
		"item_rpc_sapphire_dragon_scale_armor_amethyst1"						"每点智力增加魔甲@amethyst_property1点"
		"item_property_sapphire_dragon"					"蓝龙"
		"property_sapphire_dragon_description"				"每点智力值增加 <% ITEM_RPC_SAPPHIRE_DRAGON_SCALE_ARMOR_ATTACK_PER_INT %>点基础攻击力。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_ruby_dragon_scale_armor"							"红宝石龙鳞铠甲"
		"item_rpc_ruby_dragon_scale_armor_ruby1"							"每点力量增加基础攻击力 @ruby_property1点"
		"item_rpc_ruby_dragon_scale_armor_emerald1"							"每点护甲增加物理穿透 @emerald_property1点"
		"item_rpc_ruby_dragon_scale_armor_sapphire1"							"每点力量增加魔法穿透 @sapphire_property1点"
		"item_rpc_ruby_dragon_scale_armor_amethyst1"							"每点力量增加魔甲 @amethyst_property1点"
		"item_property_ruby_dragon_armor"					"红龙"
		"property_ruby_dragon_armor_description"			"每点力量值增加 <% ITEM_RPC_RUBY_DRAGON_SCALE_ARMOR_ATTACK_PER_STR %>点基础攻击力。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_topaz_dragon_scale_armor"						"黄玉龙鳞铠甲"
		"item_rpc_topaz_dragon_scale_armor_ruby1"						"每点敏捷增加护甲 @ruby_property1点"
		"item_rpc_topaz_dragon_scale_armor_emerald1"						"每点敏捷增加基础攻击力 @emerald_property1点"
		"item_rpc_topaz_dragon_scale_armor_sapphire1"						"每点敏捷增加魔法穿透 @sapphire_property1点"
		"item_rpc_topaz_dragon_scale_armor_amethyst1"						"每点敏捷增加魔甲 @amethyst_property1点"
		"item_property_topaz_dragon"						"黄龙"
		"property_topaz_dragon_description"				"每点敏捷值增加 <% ITEM_RPC_TOPAZ_DRAGON_SCALE_ARMOR_ATTACK_PER_AGI %>点基础攻击力。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_sacred_trials_armor"								"神圣审判护甲"
		"item_rpc_sacred_trials_armor_ruby1"								"战争审判每秒有 @ruby_property1% 概率自动触发并且增加持续时间@ruby_property2 seconds"
		"item_rpc_sacred_trials_armor_emerald1"								"处于战争审判状态下时获得@emerald_property1 点攻击速度并且增加他的范围 @emerald_property2"
		"item_rpc_sacred_trials_armor_sapphire1"								"普通攻击有 @sapphire_property1% 概率获得战争审判效果并且他的伤害将会增加 @sapphire_property2%"
		"item_rpc_sacred_trials_armor_amethyst1"								"处于战争审判状态下时获得 @amethyst_property1% 攻击力加成"
		"item_property_sacred_trials"						"战争的审判"
		"property_sacred_trials_description"				"施放 @Ability2 时，使玩家拥有一个buff，下一次的普通攻击将对320范围内的敌人造成 <% ITEM_RPC_SACRED_TRIALS_ARMOR_ATTACK_TO_DMG %>% 攻击力的魔法AOE伤害。"
		"DOTA_Tooltip_modifier_sacred_trials_attack_bonus"	"战争的审判"
		"DOTA_Tooltip_modifier_sacred_trials_attack_bonus_Description"	"使你下次攻击造成 <% ITEM_RPC_SACRED_TRIALS_ARMOR_ATTACK_TO_DMG %>%% 的魔法AOE伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_heroic_conqueror_vestments"						"英勇征服者的法衣"
		"item_rpc_heroic_conqueror_vestments_ruby1"						"增加 [Q] 的所有符文数 @ruby_property1"
		"item_rpc_heroic_conqueror_vestments_emerald1"						"增加 [E] 的所有符文数 @emerald_property1"
		"item_rpc_heroic_conqueror_vestments_sapphire1"						"增加 [W] 的所有符文数 @sapphire_property1"
		"item_rpc_heroic_conqueror_vestments_amethyst1"						"增加 [R] 的所有符文数 @amethyst_property1"
		
		
		"DOTA_Tooltip_ability_item_rpc_guard_of_feronia"								"费奥南的守卫"
		"item_rpc_guard_of_feronia_ruby1"								"增加黎明之盾的伤害减免@ruby_property1%"
		"item_rpc_guard_of_feronia_emerald1"								"释放 [Q] 将会获得黎明之盾，持续 @emerald_property1 秒"
		"item_rpc_guard_of_feronia_sapphire1"								"普通攻击有@sapphire_property1%移除黎明之盾而后再次获得黎明之盾，再次获得的黎明之盾的持续时间为原本剩下的持续时间加上  <% ITEM_RPC_GUARD_OF_FERONIA_SAPPHIRE_DURATION_ADD %> 秒。每秒最多触发 <% ITEM_RPC_GUARD_OF_FERONIA_SAPPHIRE_MAX_PROCS_PER_SECOND %> 次"
		"item_rpc_guard_of_feronia_amethyst1"								"当黎明之盾结束时，每一个<% ITEM_RPC_GUARD_OF_FERONIA_AMETHYST_RADIUS %>范围内的敌人都将被流星打击，受到  @amethyst_property1% 攻击力的伤害，如果附近只有一个敌人，那么敌人将会受到 <% ITEM_RPC_GUARD_OF_FERONIA_SINGLE_TARGET_STARS %>个流星的打击"
		"item_property_guard_of_feronia"						"黎明之盾"
		"property_guard_of_feronia_description"				"施放 @Ability3 创造一个持续<% ITEM_RPC_GUARD_OF_FERONIA_SHIELD_DURATION_E %>秒的护盾，施放 @Ability4 创造一个持续<% ITEM_RPC_GUARD_OF_FERONIA_SHIELD_DURATION_R %>秒的护盾，拥有护盾时<% ITEM_RPC_GUARD_OF_FERONIA_SHIELD_DAMAGE_REDUCTION %>伤害减免。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_mystic_mana_wall"								"神秘的魔法墙"
		"item_property_mystic_mana_wall"						"魔法防御"
		"property_mystic_mana_wall_description"				"降低受到的魔法和纯粹伤害 <% ITEM_RPC_MYSTIC_MANA_WALL_MAGIC_PURE_REDUCTION %>% 并且伤害将会扣除魔法值而不是生命值。每点当前魔法值增加 <% ITEM_RPC_MYSTIC_MANA_WALL_ARMOR_PER_MANA %> 护甲"

		"item_rpc_mystic_mana_wall_ruby1"								"每点智力增加最大魔法值@ruby_property1"
		"item_rpc_mystic_mana_wall_emerald1"								"每点敏捷增加最大魔法值 @emerald_property1"
		"item_rpc_mystic_mana_wall_sapphire1"								"降低魔法和纯粹伤害@sapphire_property1%"
		"item_rpc_mystic_mana_wall_amethyst1"								"每点精神增加最大魔法值 @amethyst_property1点"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_vermillion_dream_robes"							"硃砂色的梦幻长袍"
		"item_rpc_vermillion_dream_robes_ruby1"							"增加施法距离@ruby_property1"
		"item_rpc_vermillion_dream_robes_emerald1"							"增加来自装备的符文数 @emerald_property1%"
		"item_rpc_vermillion_dream_robes_sapphire1"							"增加基础技能伤害 @sapphire_property1% 并且获得前方 @sapphire_property2 距离的视野"
		"item_rpc_vermillion_dream_robes_amethyst1"							"如果 <% ITEM_RPC_VERMILLION_DREAM_ROBES_AMETHYST_ENEMY_RADIUS %>范围内没有敌人，那么获得 @amethyst_property1 魔法穿透"
		"item_property_vermillion_dream_robes"					"夜光"
		"property_vermillion_dream_robes_description"			"增加基础技能的施法范围 <% ITEM_RPC_VERMILLION_DREAM_ROBES_CAST_RANGE_INCREASE %> 。"
		 
		 
		"DOTA_Tooltip_ability_item_rpc_ancient_tanari_wind_armor"						"远古风之甲"
		"item_rpc_ancient_tanari_wind_armor_ruby1"						"处于影响范围内的敌人每0.5秒受到 @ruby_property1x 敏捷值和智力值总和的伤害 "
		"item_rpc_ancient_tanari_wind_armor_emerald1"						"增加 <font color=\"#7AE2A7\">风</font> 元素伤害@emerald_property1%"
		"item_rpc_ancient_tanari_wind_armor_sapphire1"						"增加攻击速度降低数值 @sapphire_property1"
		"item_rpc_ancient_tanari_wind_armor_amethyst1"						"提高普通攻击丢失概率 @amethyst_property1%"
		"item_property_tanari_wind_armor"						"和风"
		"property_tanari_wind_armor_description"				"<% ITEM_RPC_ANCIENT_TANARI_WIND_ARMOR_WIND_RADIUS %>码范围内的敌人移动速度降低 <% ITEM_RPC_ANCIENT_TANARI_WIND_ARMOR_MISS_CHANCE %>% ，攻击速度降低 <% ITEM_RPC_ANCIENT_TANARI_WIND_ARMOR_MS_REDUCTION %> ，并且攻击有 <% ITEM_RPC_ANCIENT_TANARI_WIND_ARMOR_MS_REDUCTION %>% 几率丢失。"
		
		
		"DOTA_Tooltip_ability_item_rpc_blazing_fury_armor"								"炽热狂怒盔甲"
		"item_rpc_blazing_fury_armor_ruby1"								"每点力量和智力提供@ruby_property1点攻击速度"
