    	"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"
		"property_mana_striders_description"		"Restore <% ITEM_RPC_MANA_STRIDERS_MANA_RESTORE_PCT %>% of your max Mana for every <% ITEM_RPC_MANA_STRIDERS_DISTANCE %> units moved."
		
    	"item_rpc_mana_striders_ruby1"									"Each point of current mana increases Spell Pierce by @ruby_property1"
    	"item_rpc_mana_striders_emerald1"									"Increases Max Mana by @emerald_property1, and each 1% of current mana increases movespeed by @emerald_property2"
    	"item_rpc_mana_striders_sapphire1"									"Increases Intelligence by @sapphire_property1, and casting [E] restores @sapphire_property2% of Max Mana"
    	"item_rpc_mana_striders_amethyst1"									"Increases Base Ability Damage by @amethyst_property1% and casting an ability consumes @amethyst_property2% of max mana"
    	
    	"DOTA_Tooltip_ability_item_rpc_moon_tech_runners"								"Moon Tech Runners"

		"item_property_moon_techs"					"Moon Dust"
		"property_moon_techs_description"			"When casting @Ability3, create a cloud of moon dust with <% ITEM_RPC_MOON_TECH_RUNNERS_RADIUS %> radius that reduces enemies' movespeed by <% ITEM_RPC_MOON_TECH_RUNNERS_MS_SLOW_PCT %>%. Lasts <% ITEM_RPC_MOON_TECH_RUNNERS_DURATION %> seconds."

        "DOTA_Tooltip_moon_tech_aura"               "Moon Dust"
        "DOTA_Tooltip_moon_tech_aura_Description"   "Reduced Movespeed" 

    	"item_rpc_moon_tech_runners_ruby1"								"Enemies in the dust have @ruby_property1 reduced attack speed, and take @ruby_property2% of your attack power as damage every <% ITEM_RPC_MOON_TECH_RUNNERS_RUBY_INTERVAL %> seconds"
    	"item_rpc_moon_tech_runners_emerald1"								"Issuing a move order within the Moon Dust cloud teleports you to that position and disjoints projectiles. @emerald_property1 second cooldown on the teleport."
    	"item_rpc_moon_tech_runners_sapphire1"								"Enemies standing in Moon Dust have @sapphire_property1 reduced Magic Armor and @sapphire_property2% chance to miss with attacks"
    	"item_rpc_moon_tech_runners_amethyst1"								"Increases Item Damage and <font color=\"#C25DFC\">Cosmic</font> Elemental Damage by @amethyst_property1%"

        "DOTA_Tooltip_modifier_moon_tech_emerald_cd"    "Moon Tech Runners (Emerald) Cooldown"

        "DOTA_Tooltip_ability_item_rpc_neptunes_water_gliders"                          "Neptune's Water Gliders"

        "item_property_neptune"                     "Puddle Drifter"
        "property_neptune_description"              "Issuing a move order adds a slippery effect that makes you run faster and slide."

        "item_rpc_neptunes_water_gliders_ruby1"                         "Each point of Intelligence increases Movespeed and Attack Speed by @ruby_property1"
        "item_rpc_neptunes_water_gliders_emerald1"                          "Casting [E] creates a puddle of water with <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_EMERALD_RADIUS %> radius. While standing in the water, gain @emerald_property1 mana regen, and @emerald_property2 Spell Pierce and Magic Armor"
        "item_rpc_neptunes_water_gliders_sapphire1"                         "Casting [W] creates a water torrent that launches you forward with a force of <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_SAPPHIRE_JUMP_HEIGHT %>. The jump travels forward based on Puddle Drifter's glide speed. @sapphire_property1 second cooldown. Must be touching the ground to activate. When you land, stun enemies for @sapphire_property2 seconds and deal @sapphire_property3% of your attack power as damage in <% ITEM_RPC_NEPTUNES_WATER_GLIDERS_SAPPHIRE_RADIUS %> range"
        "item_rpc_neptunes_water_gliders_amethyst1"                         "Increases All T3 runes by @amethyst_property1"

        "DOTA_Tooltip_ability_item_rpc_oceanrunner_boots"                   "Oceanrunner Boots" 
        "property_oceanrunner"                                              "Alacrity"
        "property_oceanrunner_Description"                                  "Each point of Agility increases Base Ability Damage by <% ITEM_RPC_OCEANRUNNER_BOOTS_AGI_TO_BAD %>%."

        "item_rpc_oceanrunner_boots_ruby1"                  "Every <% ITEM_RPC_OCEANRUNNER_BOOTS_RUBY_TRAVEL_DISTANCE %> distance travelled, unleash a quick ocean squall that stuns enemies for @ruby_property1 seconds and deals @ruby_property2% of attack power as damage in a @ruby_property3 radius"
        "item_rpc_oceanrunner_boots_emerald1"                   "Increases Agility by @emerald_property1 and Movespeed by @emerald_property2"
        "item_rpc_oceanrunner_boots_sapphire1"                  "Each point of Agility increases Item Damage by @sapphire_property1%"
        "item_rpc_oceanrunner_boots_amethyst1"                  "Gain @amethyst_property1% increased attack power while in motion"


		"DOTA_Tooltip_ability_item_rpc_slinger_boots"									"Bladeslinger Boots"
		"item_rpc_slinger_boots_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_slinger_boots_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_slinger_boots_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_slinger_boots_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_slinger_boot"				"Bladeslinger"
		"property_slinger_boots_description"		"Every <% ITEM_RPC_SLINGER_BOOTS_ATT_INTERVAL %> seconds, immediately perform an attack with all of its procs on enemies in a 180 degree arc behind you."


    	"DOTA_Tooltip_ability_item_rpc_sange_boots"										"Sange Boots"
    	"item_rpc_sange_boots_ruby1"										"blah blah @ruby_property1 gem"
    	"item_rpc_sange_boots_emerald1"										"blah blah @emerald_property1 gem"
    	"item_rpc_sange_boots_sapphire1"										"blah blah @sapphire_property1 gem"
    	"item_rpc_sange_boots_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_sange"						"Combat Mastery S"
		"property_sange_description"				"Each point of Agility additionally increases your Max Health by <% ITEM_RPC_SANGE_BOOTS_HP_PER_AGI %> and your Max Mana by <% ITEM_RPC_SANGE_BOOTS_MP_PER_AGI %>."
		
		
    	"DOTA_Tooltip_ability_item_rpc_tranquil_boots"									"Tranquil Boots"
    	"item_rpc_tranquil_boots_ruby1"									"blah blah @ruby_property1 gem"
    	"item_rpc_tranquil_boots_emerald1"									"blah blah @emerald_property1 gem"
    	"item_rpc_tranquil_boots_sapphire1"									"blah blah @sapphire_property1 gem"
    	"item_rpc_tranquil_boots_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_tranquil_boots"				"Grove Roamer"	
		"property_tranquil_boots_description"		"Heal <% ITEM_RPC_TRANQUIL_BOOTS_HP_HEAL_PCT %>% of your max Health for every <% ITEM_RPC_TRANQUIL_BOOTS_DISTANCE %> units moved."
		
		
    	"DOTA_Tooltip_ability_item_rpc_yasha_boots"										"Yasha Boots"
    	"item_rpc_yasha_boots_ruby1"										"blah blah @ruby_property1 gem"
    	"item_rpc_yasha_boots_emerald1"										"blah blah @emerald_property1 gem"
    	"item_rpc_yasha_boots_sapphire1"										"blah blah @sapphire_property1 gem"
    	"item_rpc_yasha_boots_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_yasha"						"Combat Mastery Y"	
		"property_yasha_description"				"Increase attack speed by 1 for every <% ITEM_RPC_YASHA_BOOTS_AS_PER_STR %> Strength. Sets Base Attack Time to <% ITEM_RPC_YASHA_BOOTS_BAT %> seconds."
		
		
	
		
		
    	"DOTA_Tooltip_ability_item_rpc_sonic_boots"										"Sonic Boots"
    	"item_rpc_sonic_boots_ruby1"										"blah blah @ruby_property1 gem"
    	"item_rpc_sonic_boots_emerald1"										"blah blah @emerald_property1 gem"
    	"item_rpc_sonic_boots_sapphire1"										"blah blah @sapphire_property1 gem"
    	"item_rpc_sonic_boots_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_sonic_boots"					"Sonic Speed"
		"property_sonic_boots_description"			"Casting @Ability3 increases attack speed by 200, movespeed by 25%, and maximum movespeed by @special_property1 for 8 seconds. Additionally removes unit collision."
		"DOTA_Tooltip_modifier_sonic_boots_effect"			"Sonic Speed"
		"DOTA_Tooltip_modifier_sonic_boots_effect_Description"	"Increased attack speed, movespeed and max movespeed"
		
		
    	"DOTA_Tooltip_ability_item_rpc_rooted_feet"										"Rooted Feet"
    	"item_rpc_rooted_feet_ruby1"										"blah blah @ruby_property1 gem"
    	"item_rpc_rooted_feet_emerald1"										"blah blah @emerald_property1 gem"
    	"item_rpc_rooted_feet_sapphire1"										"blah blah @sapphire_property1 gem"
    	"item_rpc_rooted_feet_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_rooted_feet"					"Deep Earthen Grip"
		"property_rooted_feet_description"			"While standing still you have <% ITEM_RPC_ROOTED_FEET_ARMOR_AMP %>x Armor, <% ITEM_RPC_ROOTED_FEET_HP_REGEN_AMP %>x health regen, and take <% ITEM_RPC_ROOTED_FEET_DMG_REDUCTION %>% reduced damage."
		
		
    	"DOTA_Tooltip_ability_item_rpc_swamp_waders"									"Swamp Waders"
    	"item_rpc_swamp_waders_ruby1"									"blah blah @ruby_property1 gem"
    	"item_rpc_swamp_waders_emerald1"									"blah blah @emerald_property1 gem"
    	"item_rpc_swamp_waders_sapphire1"									"blah blah @sapphire_property1 gem"
    	"item_rpc_swamp_waders_amethyst1"									"blah blah @amethyst_property1 gem"
		
    	
    	"DOTA_Tooltip_ability_item_rpc_voyager_boots"									"Voyager Boots"
    	"item_rpc_voyager_boots_ruby1"									"blah blah @ruby_property1 gem"
    	"item_rpc_voyager_boots_emerald1"									"blah blah @emerald_property1 gem"
    	"item_rpc_voyager_boots_sapphire1"									"blah blah @sapphire_property1 gem"
    	"item_rpc_voyager_boots_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_voyager"						"Voyager"
		"property_voyager_description"				"When you cast @Ability3, reduce the cooldowns of all other base abilities by <% ITEM_RPC_VOYAGER_BOOTS_E_RED %>% of their base cooldown."
		
		
    	"DOTA_Tooltip_ability_item_rpc_redrock_footwear"								"Redrock Footwear"
    	"item_rpc_redrock_footwear_ruby1"								"blah blah @ruby_property1 gem"
    	"item_rpc_redrock_footwear_emerald1"								"blah blah @emerald_property1 gem"
    	"item_rpc_redrock_footwear_sapphire1"								"blah blah @sapphire_property1 gem"
    	"item_rpc_redrock_footwear_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_redrock"						"Fevering Footwork"
		"property_redrock_description"				"When you cast @Ability3, release <% ITEM_RPC_REDROCK_FOOTWEAR_NUMBER_OF_PULSES %> pulses of psychoactive heat over <% ITEM_RPC_REDROCK_FOOTWEAR_DURATION_OF_PULSES %> seconds that force all nearby enemies to attack you for <% ITEM_RPC_REDROCK_FOOTWEAR_TAUNT_DURATION %> seconds. Also increases your current health by <% ITEM_RPC_REDROCK_FOOTWEAR_HP_INCREASE_PCT %>% and reduces damage taken by <% ITEM_RPC_REDROCK_FOOTWEAR_DAMAGE_REDUCTION_PCT %>% while the effect lasts."
		
		
    	"DOTA_Tooltip_ability_item_rpc_pathfinders_resonant_boots"						"Pathfinder's Resonant Boots"
    	"item_rpc_pathfinders_resonant_boots_ruby1"						"blah blah @ruby_property1 gem"
    	"item_rpc_pathfinders_resonant_boots_emerald1"						"blah blah @emerald_property1 gem"
    	"item_rpc_pathfinders_resonant_boots_sapphire1"						"blah blah @sapphire_property1 gem"
    	"item_rpc_pathfinders_resonant_boots_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_pathfinder"					"Purifying Resonance"
		"property_pathfinder_description"			"After not taking damage for <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_DELAY %> seconds, restore <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_HP_RESTORE_PCT %>% of your max health and <% ITEM_RPC_PATHFINDERS_RESONANT_BOOTS_MANA_RESTORE_PCT %>% of your max mana every second."
		

		
    	"DOTA_Tooltip_ability_item_rpc_resplendent_rubber_boots"						"Resplendent Rubber Boots"
    	"item_rpc_resplendent_rubber_boots_ruby1"						"blah blah @ruby_property1 gem"
    	"item_rpc_resplendent_rubber_boots_emerald1"						"blah blah @emerald_property1 gem"
    	"item_rpc_resplendent_rubber_boots_sapphire1"						"blah blah @sapphire_property1 gem"
    	"item_rpc_resplendent_rubber_boots_amethyst1"						"blah blah @amethyst_property1 gem"
		"item_property_resplendent_rubber"					"Grounding"
		"property_resplendent_rubber_description"			"Reduces all damage taken by <% ITEM_RPC_RESPLENDENT_RUBBER_BOOTS_DMG_REDUCTION %>%."
		
		
		
		
    	"DOTA_Tooltip_ability_item_rpc_terrasic_lava_boots"								"Terrasic Lava Boots"
    	"item_rpc_terrasic_lava_boots_ruby1"								"blah blah @ruby_property1 gem"
    	"item_rpc_terrasic_lava_boots_emerald1"								"blah blah @emerald_property1 gem"
    	"item_rpc_terrasic_lava_boots_sapphire1"								"blah blah @sapphire_property1 gem"
    	"item_rpc_terrasic_lava_boots_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_terrasic_lava"						"Magma Tread"
		"property_terrasic_lava_description"				"Allows you to freely walk on lava. Touching lava increases attack damage by <% ITEM_RPC_TERRASIC_LAVA_BOOTS_BONUS_ATTACK_DMG %>%, attack speed by <% ITEM_RPC_TERRASIC_LAVA_BOOTS_BONUS_ATTACK_SPEED %> and attack range by <% ITEM_RPC_TERRASIC_LAVA_BOOTS_BONUS_ATTACK_RANGE %> for <% ITEM_RPC_TERRASIC_LAVA_BOOTS_DURATION %> seconds."
		"DOTA_Tooltip_modifier_rpc_terrasic_lava_boot_effect"	"Magma Tread"
		"DOTA_Tooltip_modifier_rpc_terrasic_lava_boot_effect_Description"	"Increased attack damage and attack range."
		 
		
		
		 
    	"DOTA_Tooltip_ability_item_rpc_redfall_runners"									"Redfall Runners"
    	"item_rpc_redfall_runners_ruby1"									"blah blah @ruby_property1 gem"
    	"item_rpc_redfall_runners_emerald1"									"blah blah @emerald_property1 gem"
    	"item_rpc_redfall_runners_sapphire1"									"blah blah @sapphire_property1 gem"
    	"item_rpc_redfall_runners_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_redfall_runners"					"Fight or Flight"
		"property_redfall_runners_description"				"Each % of missing health increases movement speed by <% ITEM_RPC_REDFALL_RUNNERS_MS_PER_HP_PCT_MISSING %> and movement speed limit by <% ITEM_RPC_REDFALL_RUNNERS_MAX_MS_PER_HP_PCT_MISSING %>."
		"DOTA_Tooltip_modifier_redfall_runners"		"Crackling Leaves"
		 "DOTA_Tooltip_modifier_redfall_runners_Description"	"Movespeed increased based on missing health"
		 
		 
		 
    	"DOTA_Tooltip_ability_item_rpc_sandstream_slippers"								"Sandstream Slippers"
    	"item_rpc_sandstream_slippers_ruby1"								"blah blah @ruby_property1 gem"
    	"item_rpc_sandstream_slippers_emerald1"								"blah blah @emerald_property1 gem"
    	"item_rpc_sandstream_slippers_sapphire1"								"blah blah @sapphire_property1 gem"
    	"item_rpc_sandstream_slippers_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_sandstream_slippers"					"Sandstream"
		 "property_sandstream_slippers_description"				"Every <% ITEM_RPC_SANDSTREAM_SLIPPERS_INTERVAL %> seconds gain a Sandstream stack. Each stack removes the cooldown on @Ability3. Max <% ITEM_RPC_SANDSTREAM_SLIPPERS_MAX_STACKS %> stacks."
		 "DOTA_Tooltip_modifier_sandstream_slippers_stack"		"Sandstream Stacks"
		 "DOTA_Tooltip_modifier_sandstream_slippers_stack_Description"	"Removes the cooldown on E ability. Using E ability consumes a stack."
 
		 
    	"DOTA_Tooltip_ability_item_rpc_temporal_warp_boots"								"Temporal Warp Boots"
    	"item_rpc_temporal_warp_boots_ruby1"								"blah blah @ruby_property1 gem"
    	"item_rpc_temporal_warp_boots_emerald1"								"blah blah @emerald_property1 gem"
    	"item_rpc_temporal_warp_boots_sapphire1"								"blah blah @sapphire_property1 gem"
    	"item_rpc_temporal_warp_boots_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_temporal_warp"						"Time Warp"
		"property_temporal_warp_description"				"Casting @Ability3 resets mana, health, position, and cooldowns (except @Ability3) to what they were 4 seconds ago."
		"DOTA_Tooltip_modifier_temporal_warp_cooldown"		"Time Warp Cooldown"
		
		
    	"DOTA_Tooltip_ability_item_rpc_red_october_boots"								"Red October Boots"
    	"item_rpc_red_october_boots_ruby1"								"blah blah @ruby_property1 gem"
    	"item_rpc_red_october_boots_emerald1"								"blah blah @emerald_property1 gem"
    	"item_rpc_red_october_boots_sapphire1"								"blah blah @sapphire_property1 gem"
    	"item_rpc_red_october_boots_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_red_october"								"Mobilus Shield"
		"property_red_october_description"						"While @Ability3 is on cooldown, all damage taken is reduced by <% ITEM_RPC_RED_OCTOBER_BOOTS_DMG_REDUCTION %>%."
		
		
    	"DOTA_Tooltip_ability_item_rpc_steamboots"										"Steamboots"
    	"item_rpc_steamboots_ruby1"										"blah blah @ruby_property1 gem"
    	"item_rpc_steamboots_emerald1"										"blah blah @emerald_property1 gem"
    	"item_rpc_steamboots_sapphire1"										"blah blah @sapphire_property1 gem"
    	"item_rpc_steamboots_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_steamboots"						"Steamboots"
		"property_steamboots_description"				"Each <% ITEM_RPC_STEAMBOOTS_AGI_DIVISOR %> points of Agility increases item damage by <% ITEM_RPC_STEAMBOOTS_AGI_TO_ITEM_DAMAGE %>%."
		
	
		

    	"DOTA_Tooltip_ability_item_rpc_storm_pacer_sabatons"        "Storm Pacer Sabatons"
    	"item_rpc_storm_pacer_sabatons_ruby1"        "blah blah @ruby_property1 gem"
    	"item_rpc_storm_pacer_sabatons_emerald1"        "blah blah @emerald_property1 gem"
    	"item_rpc_storm_pacer_sabatons_sapphire1"        "blah blah @sapphire_property1 gem"
    	"item_rpc_storm_pacer_sabatons_amethyst1"        "blah blah @amethyst_property1 gem"
        "item_property_storm_pacer_sabatons"                        "Static Corona"
        "property_storm_pacer_sabatons_description"                 "When you cast @Ability3, a <% ITEM_RPC_STORM_PACER_SABATONS_RADIUS %>-radius static ring expands outward from you, damaging enemies once while expanding and again while contracting back toward you. The damage is based on the last pre-mitigation damage instance you dealt before activating this effect, and then the damage is modified by the target's distance from the center of the ring, scaling from <% ITEM_RPC_STORM_PACER_SABATONS_MIN_AMP %>x damage at close range, to <% ITEM_RPC_STORM_PACER_SABATONS_MAX_AMP %>x damage at the edge. No other effects or modifiers can further increase this instance of damage, but it pierces Steadfast defenses, raising their damage truncation thresholds to <% ITEM_RPC_STORM_PACER_SABATONS_STEADFAST_THRESHOLD %>x the normal value (or <% ITEM_RPC_STORM_PACER_SABATONS_MEGASTEADFAST_THRESHOLD %>x for Mega Steadfast). Ring emission has a 1 second cooldown."

		"DOTA_Tooltip_ability_item_rpc_pegasus_boots"	"Pegasus Boots"
		"item_rpc_pegasus_boots_ruby1"	"blah blah @ruby_property1 gem"
		"item_rpc_pegasus_boots_emerald1"	"blah blah @emerald_property1 gem"
		"item_rpc_pegasus_boots_sapphire1"	"blah blah @sapphire_property1 gem"
		"item_rpc_pegasus_boots_amethyst1"	"blah blah @amethyst_property1 gem"
		"item_property_pegasus"					"Wing Jump"
		"property_pegasus_description"			"If your @Ability3 involves movement, it travels <% ITEM_RPC_PEGASUS_BOOTS_E_SPEED_PCT %>% faster. Max movespeed is increased by <% ITEM_RPC_PEGASUS_BOOTS_MAX_MS_AMP_PCT %>%."

		"DOTA_Tooltip_ability_item_rpc_pivotal_swiftboots"	"Pivotal Swiftboots"
		"item_rpc_pivotal_swiftboots_ruby1"	"blah blah @ruby_property1 gem"
		"item_rpc_pivotal_swiftboots_emerald1"	"blah blah @emerald_property1 gem"
		"item_rpc_pivotal_swiftboots_sapphire1"	"blah blah @sapphire_property1 gem"
		"item_rpc_pivotal_swiftboots_amethyst1"	"blah blah @amethyst_property1 gem"
		"item_property_pivotal"					"Juke"
		"property_pivotal_description"			"Turning becomes immediate. When making a quick 180° turn, gain a burst of speed that increases max movement speed to <% ITEM_RPC_PIVOTAL_SWIFTBOOTS_MAX_MS %>, and gain <% ITEM_RPC_PIVOTAL_SWIFTBOOTS_MS %> movespeed that gradually decays over 4 seconds. This effect has no cooldown."

		"DOTA_Tooltip_modifier_pivotal_swift"	"Juke"
		"DOTA_Tooltip_modifier_pivotal_swift_Description"	"Increased movespeed cap, with a decaying movespeed bonus"
